Ground Truth,Modified RAG Answer,Traditional RAG Answer,BERTScore for Modified,Exact Match for Modified,BLEU Score for Modified,ROUGE-1 for Modified,ROUGE-2 for Modified,ROUGE-L for Modified,BERTScore for Traditional,Exact Match for Traditional,BLEU Score for Traditional,ROUGE-1 for Traditional,ROUGE-2 for Traditional,ROUGE-L for Traditional
the Chinese government,"The various attacks on the torch relay route were condemned by international organizations such as the United Nations and Amnesty International, as well as governments around the world.","'Overall, the protests were peaceful in nature,'",0.826800525,0,0.006716472,0.129032258,0,0.129032258,0.832796097,0,0.033031643,0.2,0,0.2
supporters,The supporters had a larger presence than the protesters in San Francisco.,The supporters had a larger presence than the protesters in San Francisco.,0.824169219,0,0.017033186,0.153846154,0,0.153846154,0.824169219,0,0.017033186,0.153846154,0,0.153846154
counter-protesters,The protesters in Japan were overwhelmed by counter-protesters and riot police.,The protesters in Japan were overwhelmed by counter-protesters.,0.901425719,0,0.018850319,0.285714286,0.166666667,0.285714286,0.905439198,0,0,0.363636364,0.222222222,0.363636364
counter-protesters,support,Supporter,0.856311202,0,0,0,0,0,0.852841437,0,0,0,0,0
skirmishes,Some supporters and protesters had confrontations at some relay locations.,"Some skirmishes between protesters and supporters were reported in Japan, Hong Kong, and Australia.",0.811988831,0,0,0,0,0,0.822009683,0,0.014283633,0.133333333,0,0.133333333
"Latin America, Africa, and Western Asia","protests were not big in Latin America, Africa, and Western Asia","Protesters were not visible in Latin America, Africa, and Western Asia legs of the torch relay.",0.916486084,0,0.461736631,0.705882353,0.666666667,0.705882353,0.898138106,0,0.301304049,0.545454545,0.5,0.545454545
Jacques Rogge,Peter Ueberroth,Jacques Rogge,0.760477066,0,0,0,0,0,0.999999881,1,0.316227766,1,1,1
Tibetan,Athletes wearing the Tibetan flag faced the possibility of expulsion from the Olympics.,Athletes wearing the Tibetan flag faced the possibility of expulsion from the Olympics.,0.814106345,0,0.015537126,0.142857143,0,0.142857143,0.814106345,0,0.015537126,0.142857143,0,0.142857143
global relays,Global relays were scrapped in future editions of the games due to relay issues at the 2008 Summer Olympics.,global relays,0.882802725,0,0.010182426,0.19047619,0.105263158,0.19047619,1.000000238,1,0.316227766,1,1,1
Jacques Rogge,Wangari Maathai,Sir Steve Redgrave,0.747689426,0,0,0,0,0,0.8319785,0,0,0,0,0
could be expelled,Olympic sports participants who showed a Tibetan flag at events could be expelled from the games.,Olympic participants who showed a Tibetan flag could be expelled from the games.,0.866766095,0,0.06087895,0.315789474,0.235294118,0.315789474,0.884169579,0,0.07689684,0.375,0.285714286,0.375
IOC members.,The Chinese embassy.,Olympics organizers asked that the torch relay be ended.,0.894957125,0,0,0,0,0,0.879985571,0,0,0,0,0
global relays,The torch relay for future Olympics,"The torch relay for future Olympics was halted due to security concerns regarding ""militant threats or anti-China protests"".",0.86770165,0,0,0.25,0,0.25,0.831507087,0,0,0.095238095,0,0.095238095
Paralympic Games,The Beijing Olympics,The Beijing Olympics in China,0.864100993,0,0,0,0,0,0.851843655,0,0,0,0,0
Paralympic Games,The torch relay was not held for the events in Islamabad and the indoor ceremony with the torch carried around the track of Jinnah Stadium.,"The torch relay was not held for the Australian leg in April 2008 due to protests and arrests, and for the Pakistani leg in March 2008 due to security concerns related to ""militant threats or anti-China protests"".",0.781544387,0,0,0,0,0,0.772365451,0,0,0,0,0
Lucky Cloud,Traditional scrolls.,The Chinese design used on the Olympic Torch is based on the traditional Chinese concept of the five elements that make up the entire universe.,0.88592279,0,0,0,0,0,0.815686762,0,0,0,0,0
aluminum.,aluminum,The Olympic Torch is made from aluminum.,0.951526821,0,0,1,0,1,0.880509317,0,0.033031643,0.25,0,0.25
985 grams,985 grams,985 grams,0.999999821,1,0.316227766,1,1,1,0.999999821,1,0.316227766,1,1,1
An ignition key,Traditional scrolls,The Olympic Torch uses an ignition key to ignite and extinguish the flame.,0.875991344,0,0,0,0,0,0.885892928,0,0.03285702,0.375,0.285714286,0.375
Lucky Cloud,The design name of the Chinese Olympic Torch is Traditional Scrolls.,"The design name of the Chinese Olympic Torch was ""Beijing 2008"".",0.821262658,0,0,0,0,0,0.816719234,0,0,0,0,0
aluminum.,Aluminum,The torch is made from aluminum.,0.954146087,0,0,1,0,1,0.88732785,0,0.040824829,0.285714286,0,0.285714286
37,The torch flame can stay lit in wind speeds of up to 37 miles per hour.,The torch flame can stay lit in winds up to 37 mph.,0.801044881,0,0.012300686,0.117647059,0,0.117647059,0.811024666,0,0.017033186,0.153846154,0,0.153846154
2,2 inches per hour,The torch can stay lit under rain of up to 2 inches per hour.,0.829068363,0,0.080342842,0.4,0,0.4,0.806514144,0,0.014283633,0.133333333,0,0.133333333
propane.,The torch is fueled by cans of propane.,The torch is fueled by cans of propane.,0.875593722,0,0.02777619,0.222222222,0,0.222222222,0.875593722,0,0.02777619,0.222222222,0,0.222222222
a chartered Air China Airbus A330,The Olympic Flame was kept alight in a set of eight lanterns when it needed to be on an airplane.,The Olympic Torch was on an airplane when it needed to be.,0.819591403,0,0.009629944,0.076923077,0,0.076923077,0.826934338,0,0,0,0,0
red and yellow,The chartered plane was painted in the red and yellow colors of the Olympic Games.,The chartered plane was painted in red and yellow colors.,0.849173009,0,0.065418689,0.333333333,0.25,0.333333333,0.861977041,0,0.104455227,0.461538462,0.363636364,0.461538462
Mar-08,It was decided in 2001 that Air China would be the official torch carrier for the Beijing Olympics.,The decision to make Air China the official torch carrier was made in March 2008 by the Beijing Committees of the Olympic Games.,0.85030067,0,0,0,0,0,0.843596756,0,0.017514895,0.16,0.086956522,0.16
130 days,The plane traveled for a duration of 130 days.,130 days,0.870456457,0,0.023980297,0.363636364,0.222222222,0.363636364,1.000000238,1,0.316227766,1,1,1
Airbus A330,The Torch team traveled in a plane that had never been used before in the history of Olympic torch relays.,Torch traveled in a plane,0.820802271,0,0,0,0,0,0.836444736,0,0,0,0,0
red and yellow,The aircraft was painted in the red and yellow colors of the Olympic Games.,The aircraft was painted in the red and yellow colors of the Olympic Games.,0.853074908,0,0.070693011,0.352941176,0.266666667,0.352941176,0.853074908,0,0.070693011,0.352941176,0.266666667,0.352941176
Air China,The airline that transported the Olympic Torch was Air China.,The name of the airline that transported the Olympic Torch was Air China.,0.860185981,0,0.021105341,0.333333333,0.2,0.333333333,0.858504355,0,0.015537126,0.266666667,0.153846154,0.266666667
130,130 days,130 days,0.889378548,0,0.149534878,0.666666667,0,0.666666667,0.889378548,0,0.149534878,0.666666667,0,0.666666667
21,6,21 countries and regions,0.999308527,0,0,0,0,0,0.83532995,0,0.080342842,0.4,0,0.4
six,Six,6,0.999656975,0,0,1,0,1,0.998051763,0,0,0,0,0
Taipei,The planned route originally included a stop in Taipei between Ho Chi Minh City and Hong Kong.,The planned route originally included a stop in Taipei between Ho Chi Minh City and Hong Kong.,0.823068619,0,0.011502784,0.111111111,0,0.111111111,0.823068619,0,0.011502784,0.111111111,0,0.111111111
Hong Kong and Macau,Hong Kong and Macau,Hong Kong and Macau,1,1,1,1,1,1,1,1,1,1,1,1
continents,six continents,Six continents,0.849139214,0,0.149534878,0.666666667,0,0.666666667,0.851882994,0,0.149534878,0.666666667,0,0.666666667
Taiwan.,The government of Chinese Taipei and Beijing disagreed on the language used to describe whether it was an international or domestic part of the route.,The government of Chinese Taipei and Beijing disagreed on the language used to describe whether it was an international or domestic part of the route.,0.868751585,0,0,0,0,0,0.868751585,0,0,0,0,0
Hong Kong and Macau,Taiwan did not want to be considered equal with Hong Kong and Macau.,Taiwan did not want to be considered equal with Hong Kong and Macau in the language of the torch's route description.,0.900434077,0,0.07689684,0.470588235,0.4,0.470588235,0.887165844,0,0.113693062,0.307692308,0.25,0.307692308
24,24 km,The torch relay in Taiwan was supposed to go through 24 km of territory.,0.882039785,0,0.149534878,0.666666667,0,0.666666667,0.819217086,0,0.014283633,0.133333333,0,0.133333333
"March 24, 2008",Mar-24,Mar-24,0.882018924,0,0.090697488,0.8,0.666666667,0.8,0.882018924,0,0.090697488,0.8,0.666666667,0.8
"Olympia, Greece.","The Olympic Flame was lit in Olympia, Greece on March 24.",Olympics were first held in Greece,0.884066343,0,0.018850319,0.307692308,0.181818182,0.307692308,0.888612449,0,0,0.25,0,0.25
Alexandros Nikolaidis,Carlos Espinola,Alexander Nikolaidis was the first person to carry the torch in the 2008 Olympic Torch Relay.,0.752351642,0,0,0,0,0,0.846197426,0,0.012300686,0.111111111,0,0.111111111
Maria Nafpliotou,Sorry. I cannot find the answer based on the context.,Olympic medalist Lee Lai Shan,0.786005437,0,0,0,0,0,0.79104948,0,0,0,0,0
"March 30, 2008",1988,"Protesters yelled for Tibet to be freed on August 8th, 2008",0.829811811,0,0,0,0,0,0.874762297,0,0.018850319,0.142857143,0,0.142857143
"Olympia, Greece.",Olympic events were originally held in Greece at Olympia.,Olympic events were originally held in Greece at Olympia.,0.888199091,0,0,0.363636364,0,0.181818182,0.888199091,0,0,0.363636364,0,0.181818182
Maria Nafpliotou,The name of the woman who lit the torch for the new games was not mentioned in the provided context.,The name of the woman who lit the torch for the new games was Maria Nafpliotou.,0.771619976,0,0,0,0,0,0.900440931,0,0.012300686,0.222222222,0.125,0.222222222
silver,The first torchbearer had a silver medal from prior games.,The first torchbearer in the 2008 Summer Olympics had a silver medal from the 2004 Summer Olympics in taekwondo.,0.82478559,0,0.021105341,0.181818182,0,0.181818182,0.802295625,0,0.010182426,0.1,0,0.1
Alexandros Nikolaidis,Sorry. I cannot find the answer based on the context.,The name of the first torchbearer for the 2008 Olympics was Norman Bellingham.,0.78003037,0,0,0,0,0,0.779999375,0,0,0,0,0
Nepal.,San Francisco,The city of San Francisco had police experience violent problems with protesters during the torch relay for the 2008 Olympics in Beijing.,0.882638752,0,0,0,0,0,0.87578392,0,0,0,0,0
Carrefour,Action was taken to boycott Carrefour.,The company that was boycotted was Carrefour.,0.878042221,0,0,0.285714286,0,0.285714286,0.877629399,0,0,0.25,0,0.25
the LVMH Group,The biggest shareholder of Carrefour was LVMH Group.,The LVMH Group was the biggest shareholder of Carrefour at that time.,0.892339885,0,0.02777619,0.545454545,0.222222222,0.545454545,0.90937084,0,0.039863571,0.4,0.307692308,0.4
the French flag,Protesters burned effigies of their political leaders,Protesters burned gasoline on themselves in an attempt to set themselves on fire.,0.825864255,0,0,0,0,0,0.827322066,0,0,0,0,0
Kunming,China,The Carrefour store in Kunming was blocked by protesters wielding large Chinese flags and hit by water bottles.,0.863744318,0,0,0,0,0,0.806200385,0,0.010802315,0.105263158,0,0.105263158
the LVMH Group,"The major shareholder of Carrefour, LVMH Group.",The LVMH Group was accused of donating funds to the Dalai Lama.,0.898052931,0,0.033031643,0.6,0.25,0.6,0.912020206,0,0.039863571,0.4,0.307692308,0.4
censorship,The Chinese government used censorship to ease the boycott situation by barring searches of words related to the French protests.,The Chinese government used methods to choke the mass boycott's efforts online by barring searches of words related to the French protests.,0.819952071,0,0.009629944,0.095238095,0,0.095238095,0.814418733,0,0,0,0,0
Carrefour,"The French-owned retail chain Carrefour was being boycotted in major Chinese cities including Kunming, Hefei and Wuhan.","The French-owned retail chain Carrefour was being boycotted in major Chinese cities including Kunming, Hefei and Wuhan.",0.849544585,0,0.011502784,0.105263158,0,0.105263158,0.849544585,0,0.011502784,0.105263158,0,0.105263158
People's Daily,The People's Daily,The People's Daily,0.912639916,0,0.240281141,0.857142857,0.8,0.857142857,0.912639856,0,0.240281141,0.857142857,0.8,0.857142857
People's Daily,People’s Daily,People's Daily,0.974459469,0,0.149534878,1,1,1,1,1,0.316227766,1,1,1
legal,"Patriotic enthusiasm should be expressed calmly and rationally, and patriotic aspirations should be expressed in an orderly and legal manner.","Patriotic enthusiasm should be expressed calmly and rationally, and patriotic aspirations should be expressed in an orderly and legal manner.",0.801450133,0,0.009629944,0.095238095,0,0.095238095,0.801450133,0,0.009629944,0.095238095,0,0.095238095
Almaty,The torch visited the Consulate and other pro-China groups on April 2.,The torch visited the Consulate and other pro-China groups on April 2.,0.781645954,0,0,0,0,0,0.781645954,0,0,0,0,0
Nursultan Nazarbaev.,President Nursultan Nazarbaev,President of Kazakhstan Nursultan Nazarbaev,0.95374459,0,0.113621937,0.8,0.666666667,0.8,0.918088734,0,0.053728497,0.571428571,0.4,0.571428571
the President of Kazakhstan,President of Kazakhstan,"President of Kazakhstan Nursultan Nazarbaev was the first torchbearer in Almaty, where the Olympic torch arrived for the first time ever on April 2.",0.940335095,0,0.402935167,0.857142857,0.8,0.857142857,0.851912022,0,0.04208499,0.285714286,0.153846154,0.214285714
Astana Square.,The route in Almaty went from Medeo Stadium to Astana Square.,The route in Almaty ended at Astana Square.,0.861568213,0,0.039863571,0.307692308,0.181818182,0.307692308,0.871574581,0,0.058739491,0.4,0.25,0.4
Uighur activists,Uighur activists were arrested,Uighur activists,0.963998973,0,0.169904424,0.666666667,0.5,0.666666667,0.99999994,1,0.316227766,1,1,1
Kazakhstan,Beijing,"The torch relay then traveled through Nathan Road, Lantau Link, Sha Tin (crossed Shing Mun River via a dragon boat,",0.999254048,0,0,0,0,0,0.791141331,0,0,0,0,0
Nursultan Nazarbaev.,The name of the president who was the first torchbearer in Almaty was Nursultan Nazarbaev.,The name of the president who was the first torchbearer in Almaty was Nursultan Nazarbaev.,0.895355046,0,0.027952556,0.235294118,0.133333333,0.235294118,0.895355046,0,0.027952556,0.235294118,0.133333333,0.235294118
20,20 km,The route ran 20 km from Medeo stadium to Astana Square.,0.838625491,0,0.149534878,0.666666667,0,0.666666667,0.815810084,0,0.018850319,0.166666667,0,0.166666667
Uighur,MPs and seven anti-China protestors were arrested.,"MPs and seven anti-China protestors were arrested in Hanoi after unfurling a banner and shouting ""Boycott the Beijing"", 'Olympics"" through a loudhailer at a market. A Vietnamese American was deported for planning protests against the torch, while a prominent blogger, iu Cày (real name Nguyn Vn Hi), who blogged about protests around the world and who called for demonstrations in Vietnam, was arrested on charges of tax evasion. Outside Vietnam, there were protests by overseas Vietnamese in Paris, San Francisco, and Los Angeles.",0.788315415,0,0,0,0,0,0.75582701,0,0,0,0,0
Apr-03,03-Apr,"The torch relay leg in Istanbul was held on April 3, starting at Sultanahmet Square and finishing in Taksim Square.",0.911521912,0,0.177827941,1,0,0.5,0.815893769,0,0.009629944,0.181818182,0.1,0.181818182
Taksim Square,The torch ended up in Taksim Square after starting at Sultanahmet Square.,The torch ended up in Taksim Square after starting at Sultanahmet Square.,0.865782619,0,0.036020803,0.285714286,0.166666667,0.285714286,0.865782619,0,0.036020803,0.285714286,0.166666667,0.285714286
Sultanahmet Square,Sorry. I cannot find the answer based on the context provided.,Sorry. I cannot find the answer based on the context.,0.755648613,0,0,0,0,0,0.766801775,0,0,0,0,0
Uyghurs living in Turkey,The protesters demanded freedom for Tibetans who were being held captive by Chinese authorities in Xinjiang.,Protesters demanded freedom for Tibetans who were being held captive by China.,0.833726823,0,0.012300686,0.1,0,0.1,0.840165317,0,0,0,0,0
Istanbul,The Olympic torch was in Macau on April 3rd.,The Olympic Torch was in San Francisco on April 9th.,0.812866449,0,0,0,0,0,0.812129319,0,0,0,0,0
Sultanahmet Square,The name of the place where the torch relay started in Turkey is Sultanahmet Square.,Sultanahmet Square,0.86954689,0,0.013217948,0.235294118,0.133333333,0.235294118,1,1,0.316227766,1,1,1
Taksim Square.,The torch relay finished in Taksim Square.,The torch relay finished in Taksim Square in Turkey.,0.899809718,0,0.069853421,0.444444444,0.285714286,0.444444444,0.885890603,0,0.023980297,0.363636364,0.222222222,0.363636364
Uyghurs,"People in Turkey protested for their people living in China by boycotting French-owned retail chain Carrefour in major Chinese cities including Kunming, Hefei and Wuhan, accusing the French nation of pro-secessionist conspiracy and anti-Chinese racism.","People in Turkey protested for their people living in China by boycotting French-owned retail chain Carrefour in major Chinese cities including Kunming, Hefei and Wuhan, accusing the French nation of pro-secessionist conspiracy and anti-Chinese racism.",0.749568105,0,0,0,0,0,0.749568105,0,0,0,0,0
arrested,Protesters who tried to interrupt the carrying of the torch were swamped by angry crowds and trailed by them.,Protesters who tried to interrupt the carrying of the torch were met with resistance from Chinese security officials and angry crowds.,0.812556982,0,0,0,0,0,0.809235871,0,0,0,0,0
Apr-05,"April 5, 2008",The torch arrived at Saint Petersburg on April 5.,0.86020422,0,0.113621937,0.8,0.666666667,0.8,0.861588895,0,0.023980297,0.363636364,0.222222222,0.363636364
Victory Square,Victory Square,The start of the torch route in Saint Petersburg was at the Medeo stadium.,1,1,0.316227766,1,1,1,0.804172814,0,0,0,0,0
Palace Square,The torch relay finished at Palace Square in Saint Petersburg.,The torch relay in Saint Petersburg ended at Astana Square after traveling 20 km from Medeo stadium.,0.85042876,0,0.044632361,0.333333333,0.2,0.333333333,0.814112186,0,0.011502784,0.105263158,0,0.105263158
Fedor Emelianenko,Fedore Emelianenko,Fedro Emelianenko was the first MMA fighter to participate in carrying the Olympic torch,0.954507649,0,0.149534878,1,1,1,0.862667859,0,0.014283633,0.125,0,0.125
Saint Petersburg,Moscow,"The first stop for the relay was Saint Petersburg, Russia.",0.847658932,0,0,0,0,0,0.875492215,0,0.021105341,0.333333333,0.2,0.333333333
Victory Square,The torch relay began in Russia at Victory Square in Saint Petersburg.,"The Olympic torch relay began in Saint Petersburg, Russia.",0.83875978,0,0.036020803,0.285714286,0.166666667,0.285714286,0.809121549,0,0,0,0,0
Palace Square.,The last location for the relay in Russia was Saint Petersburg.,The last location for the relay in Russia was Saint Petersburg.,0.854344904,0,0,0,0,0,0.854344904,0,0,0,0,0
Fedor Emelianenko,Fedro Emelianenko,Fedor Emelianenko,0.947461843,0,0.149534878,0.5,0,0.5,1,1,0.316227766,1,1,1
London,London,The host city of the 2012 Summer Olympics was London.,1.000000238,1,0.177827941,1,0,1,0.800616145,0,0,0.181818182,0,0.181818182
Apr-06,Mar-08,"The torch route in London began at Wembley Stadium and ended at O2 Arena on April 6, taking a total of seven and a half hours to complete.",0.911498666,0,0,0,0,0,0.8152197,0,0.006716472,0.133333333,0.071428571,0.133333333
"£750,000","£750,000","Security for the torch relay in London cost £750,000.",0.999999881,1,0.177827941,1,1,1,0.875913501,0,0,0.333333333,0.2,0.333333333
London,London,London,1.000000238,1,0.177827941,1,0,1,1.000000238,1,0.177827941,1,0,1
Wembley Stadium,Sorry. I cannot find the answer based on the context.,The torch relay began at Wembley Stadium in London for the 2008 Olympics.,0.823154926,0,0,0,0,0,0.852028847,0,0.03285702,0.266666667,0.153846154,0.266666667
O2 Arena,The relay ended in the City of London and the eastern part of the city.,The relay ended at O2 Arena in London.,0.791082919,0,0,0,0,0,0.881483614,0,0.058739491,0.4,0.25,0.4
30 mi,The relay in England was approximately 30 miles long.,"85,000 miles",0.84450233,0,0.023980297,0.181818182,0,0.181818182,0.82267648,0,0,0,0,0
thugs,"London officials described the Chinese security guards as ""thugs"" for their treatment of protesters.","London officials described the treatment of protesters by Chinese security guards as ""thuggish.""",0.811388731,0,0,0.133333333,0,0.133333333,0.82338351,0,0,0,0,0
80,80,48,0.999999702,1,0.177827941,1,0,1,0.999807537,0,0,0,0,0
Sir Steve Redgrave,Sir Steve Redgrave.,Sorry. I cannot find the answer based on the context.,0.989723027,0,0.240281141,1,1,1,0.843098223,0,0,0,0,0
Richard Vaughan,Francesca Martinez,Richard Vaughan refused to carry the torch,0.830223322,0,0,0,0,0,0.917422533,0,0.069853421,0.444444444,0.285714286,0.444444444
Prime Minister Gordon Brown,Gordon Brown,Gordon Brown,0.87844193,0,0.116333694,0.666666667,0.5,0.666666667,0.87844193,0,0.116333694,0.666666667,0.5,0.666666667
Sir Steve Redgrave,Sir Steve Redgrave,Sir Steve Redgrave,1.000000238,1,0.562341325,1,1,1,1.000000238,1,0.562341325,1,1,1
80,"200,000","200,000",0.872104287,0,0,0,0,0,0.872104347,0,0,0,0,0
Francesca Martinez and Richard Vaughan,Richard Vaughan and Francesca Martinez declined to carry the torch in London.,Richard Vaughan and Francesca Martinez declined to carry the torch.,0.879292786,0,0.053863664,0.588235294,0.266666667,0.235294118,0.881358266,0,0.066740947,0.666666667,0.307692308,0.266666667
10 Downing Street,Gordon Brown welcomed the torch outside 10 Downing Street without holding or touching it.,Gordon Brown welcomed the torch outside 10 Downing Street without holding or touching it.,0.85135746,0,0.070693011,0.352941176,0.266666667,0.352941176,0.85135746,0,0.070693011,0.352941176,0.266666667,0.352941176
Ladbroke Grove,The downtown Opera House,Protesters attempted to take the torch in Ladbroke Grove and Chinatown,0.773763001,0,0,0,0,0,0.862154543,0,0.039863571,0.307692308,0.181818182,0.307692308
Apr-07,2008,The torch relay in Paris occurred on April 7.,0.911306024,0,0,0,0,0,0.853646815,0,0.023980297,0.363636364,0.222222222,0.363636364
the Eiffel Tower,The Paris route started at the Eiffel Tower.,The Paris route started on the first level of the Eiffel Tower.,0.899119854,0,0.058739491,0.545454545,0.444444444,0.545454545,0.897055268,0,0.036020803,0.4,0.307692308,0.4
by bus,The torch ended its route in Paris by bus instead of being carried by athletes due to requests from Chinese authorities and protests against human rights violations.,The torch ended its route in Paris by bus instead of being carried by athletes due to protests and human rights concerns.,0.845101178,0,0.014761667,0.137931034,0.074074074,0.137931034,0.851011515,0,0.018371774,0.166666667,0.090909091,0.166666667
Teddy Riner,Teddy Riner,David Douillet was ready to hand it to Chinese flame attendants.,1.000000238,1,0.316227766,1,1,1,0.821622074,0,0,0,0,0
Apr-07,29-Jul,The torch relay began in France on April 7.,0.916183174,0,0,0,0,0,0.851909161,0,0.023980297,0.363636364,0.222222222,0.363636364
Paris,Paris,The torch relay started at Muscat in Sultanate of Oman.,1.000000834,1,0.177827941,1,0,1,0.817144573,0,0,0,0,0
Eiffel Tower,The Eiffel Tower,The torch relay started on the first level of the Eiffel Tower.,0.957871377,0,0.240281141,0.8,0.666666667,0.8,0.885101199,0,0.017033186,0.285714286,0.166666667,0.285714286
"(3, 0)","3,000",1200 police officers,0.852952123,0,0,0.5,0,0.5,0.841537058,0,0,0,0,0
five,The torch was extinguished several times during the Paris leg for security reasons and once in protest.,The torch was extinguished several times during the Paris leg for security reasons and once in protest.,0.807627618,0,0,0,0,0,0.807627618,0,0,0,0,0
Green Party officials.,Green Party officials.,"The flag was displayed by environmental advocate, Majora Carter.",0.999999762,1,0.562341325,1,1,1,0.858869374,0,0,0,0,0
Jin Jing,Andrew Michael,Andrew Michael,0.85765028,0,0,0,0,0,0.85765028,0,0,0,0,0
Angel in Wheelchair,"Jin Jing was called ""heroic"" and an ""angel"" by ethnic Chinese media outlets.","Jin Jing was called ""heroic"" and an ""angel"" by ethnic Chinese media outlets.",0.808501959,0,0,0.125,0,0.125,0.808501959,0,0,0.125,0,0.125
torch relay ceremony,Protest interruptions caused the Olympic torch relay to be canceled in 2008 due to concerns about disruptions from demonstrators protesting China's crackdown in Tibet.,The torch relay was stopped due to protest interruptions.,0.845377207,0,0.016734481,0.142857143,0.076923077,0.142857143,0.889693797,0,0.050712153,0.333333333,0.2,0.333333333
Jin Jing,The name of the handicapped torchbearer was Andrew Michael.,The name of the handicapped torchbearer was Andrew Michael.,0.813347518,0,0,0,0,0,0.813347518,0,0,0,0,0
Angel in Wheelchair,Jin Jing,Jin Jing,0.818161249,0,0,0,0,0,0.818161249,0,0,0,0,0
Green Party officials.,Green Party officials.,Majora Carter,0.999999762,1,0.562341325,1,1,1,0.814436972,0,0,0,0,0
Reporters Without Borders,"The organization planned several protests in Tibet, Darfur, and the spiritual practice Falun Gong.",Reporters Without Borders organized several symbolic protests.,0.785293281,0,0,0,0,0,0.942519605,0,0.163481266,0.6,0.5,0.6
