question,answers,modified_rag_retrieved_context,modified_rag_refined_answer,modified_rag_case,modified_rag_retrieval_time,modified_rag_generation_time,modified_rag_total_time,traditional_rag_retrieved_context,traditional_rag_refined_answer,traditional_rag_retrieval_time,traditional_rag_generation_time,traditional_rag_total_time
Where did the torch route start in Buenos Aires?,the Lola Mora amphitheatre,"Answer: On April 11.
Score: 0.88
Answer: April 11.
Score: 0.87
Answer: Buenos Aires, Argentina.
Score: 0.81",The torch route started in Buenos Aires on April 11.,Q-A Index,2.72,4.2,6.91,"human rights abuses in Tibet. Argentina: The torch relay leg in Buenos Aires, Argentina, held on
April 11, began with an artistic show at the Lola Mora amphitheatre in Costanera Sur. In the end of
the show the mayor of Buenos Aires Mauricio Macri gave the torch to the first torchbearer, Carlos
Espínola. The leg finished at the Buenos Aires Riding Club in the Palermo district, the last

was not impeded. Chinese immigrants also turned out in support of the Games, but only minor
scuffles were reported between both groups. Runners surrounded by rows of security carried the
Olympic flame past thousands of jubilant Argentines in the most trouble-free torch relay in nearly a
week. People showered the parade route with confetti as banks, government offices and businesses

torchbearer, Chinese 1992 Olympic champion swimmer Lin Li. The planned closing ceremony at
Justin Herman Plaza was cancelled and instead, a ceremony was held at San Francisco
International Airport, where the torch was to leave for Buenos Aires. The route changes allowed the
run to avoid large numbers of China supporters and protesters against China. As people found out",The torch relay leg in Buenos Aires began with an artistic show at the Lola Mora amphitheatre in Costanera Sur.,2.67,6.58,9.25
Who was the mayor of Buenos Aires?,Mauricio Macri,"human rights abuses in Tibet. Argentina: The torch relay leg in Buenos Aires, Argentina, held on
April 11, began with an artistic show at the Lola Mora amphitheatre in Costanera Sur. In the end of
the show the mayor of Buenos Aires Mauricio Macri gave the torch to the first torchbearer, Carlos
Espínola. The leg finished at the Buenos Aires Riding Club in the Palermo district, the last
the city of Buenos Aires, but all of these will be peaceful."" Among other activities, protesters
organized an alternative march that went from the Obelisk to the city hall, featuring their own
""Human Rights Torch."" A giant banner reading ""Free Tibet"" was also displayed on the torch route.
According to a representative from the NGO \'Human Rights Torch Relay\', their objective was to
there would be no closing ceremony at Justin Herman Plaza, there were angry reactions. One
demonstrator was quoted as saying that the route changes were an effort to ""thwart any organized
protest that had been planned."" San Francisco Board of Supervisors President Aaron Peskin, a critic
of Mayor Gavin Newsom, said that it was a ""cynical plan to please the Bush State Department and",Mauricio Macri,Traditional RAG,2.73,3.32,6.05,"human rights abuses in Tibet. Argentina: The torch relay leg in Buenos Aires, Argentina, held on
April 11, began with an artistic show at the Lola Mora amphitheatre in Costanera Sur. In the end of
the show the mayor of Buenos Aires Mauricio Macri gave the torch to the first torchbearer, Carlos
Espínola. The leg finished at the Buenos Aires Riding Club in the Palermo district, the last

the city of Buenos Aires, but all of these will be peaceful."" Among other activities, protesters
organized an alternative march that went from the Obelisk to the city hall, featuring their own
""Human Rights Torch."" A giant banner reading ""Free Tibet"" was also displayed on the torch route.
According to a representative from the NGO \'Human Rights Torch Relay\', their objective was to

there would be no closing ceremony at Justin Herman Plaza, there were angry reactions. One
demonstrator was quoted as saying that the route changes were an effort to ""thwart any organized
protest that had been planned."" San Francisco Board of Supervisors President Aaron Peskin, a critic
of Mayor Gavin Newsom, said that it was a ""cynical plan to please the Bush State Department and",Mauricio Macri,3.09,2.83,5.91
Where did the Olympic torch relay begin in Argentina?,Buenos Aires,"Answer: Buenos Aires, Argentina.
Score: 0.89
Answer: On April 11.
Score: 0.86
Answer: April 11.
Score: 0.84","Buenos Aires, Argentina",Q-A Index,3.16,3.1,6.25,"human rights abuses in Tibet. Argentina: The torch relay leg in Buenos Aires, Argentina, held on
April 11, began with an artistic show at the Lola Mora amphitheatre in Costanera Sur. In the end of
the show the mayor of Buenos Aires Mauricio Macri gave the torch to the first torchbearer, Carlos
Espínola. The leg finished at the Buenos Aires Riding Club in the Palermo district, the last

2008_Summer_Olympics_torch_relay
America: The torch relay\'s North American leg occurred in San Francisco, California on April 9. On
the day of the relay officials diverted the torch run to an unannounced route. The start was at
McCovey Cove, where Norman Bellingham of the U.S. Olympic Committee gave the torch to the first

2008_Summer_Olympics_torch_relay
Carrefour\'s stores at Beijing, Changsha, Fuzhou and Shenyang on May 1. Tanzania: Dar es
Salaam was the torch's only stop in Africa, on April 13. The relay began at the grand terminal of the
TAZARA Railway, which was China's largest foreign aid project of the 1970s, and continued for 5","The Olympic torch relay began at Lola Mora amphitheatre in Costanera Sur, Buenos Aires.",2.97,5.79,8.76
What place held an opening show for the relay?,Lola Mora amphitheatre,"Answer: The opening ceremony of the relay took place at an undisclosed location.
Score: 0.84
Answer: McCovey Cove.
Score: 0.81
Answer: Near Ruins of St.2008 Summer Olympics.
Score: 0.80",The opening show for the relay was held at an undisclosed location,Q-A Index,2.72,4.18,6.9,"about 1:17 pm PDT (20:17 UTC), briefly held aloft by American and Chinese Olympic officials. The
relay descended into confusion as the first runner in the elaborately planned relay disappeared into
a warehouse on a waterfront pier where it stayed for a half-an-hour. There were clashes between
thousands of pro-China demonstrators, many of whom said they were bused in by the Chinese

compatriots living in Xinjiang. Several protesters who tried to disrupt the relay were promptly
arrested by the police. , ' Malaysia: The event was held in the capital city, Kuala Lumpur, on April 21.
The 16.5 km long-relay began from the historic Independence Square, passed in front of several city
landmarks before coming to an end at the iconic Petronas Twin Towers. Among the landmarks the

2008_Summer_Olympics_torch_relay
relay was initially supposed to carry the torch around Islamabad, but the entire relay was cancelled
due to security concerns regarding ""militant threats or anti-China protests"", and replaced by an
indoors ceremony with the torch carried around the track of Jinnah Stadium. In fear of violent","The relay was held in Kuala Lumpur, Malaysia on April 21st.",2.76,4.87,7.63
What is the name of the mayor who passed off the torch to the first bearer in Argentina?,Mauricio Macri,"human rights abuses in Tibet. Argentina: The torch relay leg in Buenos Aires, Argentina, held on
April 11, began with an artistic show at the Lola Mora amphitheatre in Costanera Sur. In the end of
the show the mayor of Buenos Aires Mauricio Macri gave the torch to the first torchbearer, Carlos
Espínola. The leg finished at the Buenos Aires Riding Club in the Palermo district, the last
developed a significant online fan-base, particularly among China\'s female netizens. Argentine
activists told a news conference that they would not try to snuff out the torch\'s flame as
demonstrators had in Paris and London. ""I want to announce that we will not put out the Olympic
torch,"" said pro-Tibet activist Jorge Carcavallo. ""We\'ll be carrying out surprise actions throughout
torchbearer, Chinese 1992 Olympic champion swimmer Lin Li. The planned closing ceremony at
Justin Herman Plaza was cancelled and instead, a ceremony was held at San Francisco
International Airport, where the torch was to leave for Buenos Aires. The route changes allowed the
run to avoid large numbers of China supporters and protesters against China. As people found out",Mauricio Macri,Traditional RAG,2.96,3.35,6.31,"human rights abuses in Tibet. Argentina: The torch relay leg in Buenos Aires, Argentina, held on
April 11, began with an artistic show at the Lola Mora amphitheatre in Costanera Sur. In the end of
the show the mayor of Buenos Aires Mauricio Macri gave the torch to the first torchbearer, Carlos
Espínola. The leg finished at the Buenos Aires Riding Club in the Palermo district, the last

developed a significant online fan-base, particularly among China\'s female netizens. Argentine
activists told a news conference that they would not try to snuff out the torch\'s flame as
demonstrators had in Paris and London. ""I want to announce that we will not put out the Olympic
torch,"" said pro-Tibet activist Jorge Carcavallo. ""We\'ll be carrying out surprise actions throughout

torchbearer, Chinese 1992 Olympic champion swimmer Lin Li. The planned closing ceremony at
Justin Herman Plaza was cancelled and instead, a ceremony was held at San Francisco
International Airport, where the torch was to leave for Buenos Aires. The route changes allowed the
run to avoid large numbers of China supporters and protesters against China. As people found out",Mauricio Macri,2.86,2.83,5.69
Who was the first bearer of the torch in Argentina?,Carlos Espínola.,"Answer: Buenos Aires, Argentina.
Score: 0.81
Answer: On April 11.
Score: 0.76
Answer: They said they would not try to snuff out the torch's flame as demonstrators had in Paris and London.
Score: 0.76",It was not specified who was the first bearer of the torch in Argentina.,Q-A Index,2.81,4.64,7.45,"human rights abuses in Tibet. Argentina: The torch relay leg in Buenos Aires, Argentina, held on
April 11, began with an artistic show at the Lola Mora amphitheatre in Costanera Sur. In the end of
the show the mayor of Buenos Aires Mauricio Macri gave the torch to the first torchbearer, Carlos
Espínola. The leg finished at the Buenos Aires Riding Club in the Palermo district, the last

developed a significant online fan-base, particularly among China\'s female netizens. Argentine
activists told a news conference that they would not try to snuff out the torch\'s flame as
demonstrators had in Paris and London. ""I want to announce that we will not put out the Olympic
torch,"" said pro-Tibet activist Jorge Carcavallo. ""We\'ll be carrying out surprise actions throughout

was not impeded. Chinese immigrants also turned out in support of the Games, but only minor
scuffles were reported between both groups. Runners surrounded by rows of security carried the
Olympic flame past thousands of jubilant Argentines in the most trouble-free torch relay in nearly a
week. People showered the parade route with confetti as banks, government offices and businesses",Carlos Espínola was the first bearer of the torch in Argentina.,2.68,4.76,7.44
What was showered along the route in some places?,confetti,"torch was following a route passing through six continents. The torch has visited cities along the Silk
Road, symbolizing ancient links between China and the rest of the world. The relay also included an
ascent with the flame to the top of Mount Everest on the border of Nepal and Tibet, China from the
Chinese side, which was closed specially for the event. Up to 600 pro-Tibet protesters were
Consulate and other pro-China groups, and both pro-Tibet and Darfur protesters. The non-Chinese
demonstrators were reported to have been swamped and trailed by angry crowds. Around 2 pm
PDT (21:00 UTC), the torch resurfaced about 3 km (1.9 mi) away from the stadium along Van Ness
Avenue, a heavily trafficked thoroughfare that was not on official route plans. Television reports
was not impeded. Chinese immigrants also turned out in support of the Games, but only minor
scuffles were reported between both groups. Runners surrounded by rows of security carried the
Olympic flame past thousands of jubilant Argentines in the most trouble-free torch relay in nearly a
week. People showered the parade route with confetti as banks, government offices and businesses",The parade route was showered with confetti.,Traditional RAG,2.76,4.19,6.94,"torch was following a route passing through six continents. The torch has visited cities along the Silk
Road, symbolizing ancient links between China and the rest of the world. The relay also included an
ascent with the flame to the top of Mount Everest on the border of Nepal and Tibet, China from the
Chinese side, which was closed specially for the event. Up to 600 pro-Tibet protesters were

Consulate and other pro-China groups, and both pro-Tibet and Darfur protesters. The non-Chinese
demonstrators were reported to have been swamped and trailed by angry crowds. Around 2 pm
PDT (21:00 UTC), the torch resurfaced about 3 km (1.9 mi) away from the stadium along Van Ness
Avenue, a heavily trafficked thoroughfare that was not on official route plans. Television reports

was not impeded. Chinese immigrants also turned out in support of the Games, but only minor
scuffles were reported between both groups. Runners surrounded by rows of security carried the
Olympic flame past thousands of jubilant Argentines in the most trouble-free torch relay in nearly a
week. People showered the parade route with confetti as banks, government offices and businesses",Confetti,2.71,2.54,5.25
What is the name of the activist who promised peaceful protests?,Jorge Carcavallo,"Answer: Szeto Wah was a pro-democracy activist involved in the protest.
Score: 0.82
Answer: Marie-José Pérec expressed understanding and support for the protestors.
Score: 0.74
Answer: Political activist and Legislative Council member Leung Kwok-hung (Longhair) joined the protest.
Score: 0.73",Marie-José Pérec expressed understanding and support for the protestors.,Q-A Index,3,4.67,7.67,"joined the protest, saying ""I\'m very proud that in Hong Kong we still have people brave enough to
speak out."" Pro-democracy activists were overwhelmed by a crowd of torch supporters with insults
like ""running dog,"" ""traitor,"" ""get out!,"" and ""I love the Communist Party."" At the same time, about 10
members of the Civil Human Rights Front had orange banners calling for human rights

the city of Buenos Aires, but all of these will be peaceful."" Among other activities, protesters
organized an alternative march that went from the Obelisk to the city hall, featuring their own
""Human Rights Torch."" A giant banner reading ""Free Tibet"" was also displayed on the torch route.
According to a representative from the NGO \'Human Rights Torch Relay\', their objective was to

MPs could step outside and unfurl a banner which read ""Respect for Human Rights in China"". The
coach containing the torch drove past the National Assembly and the assembled protesting MPs,
who shouted ""Freedom for Tibet!"" several times as it passed. Prior to the rally, seven anti-China
protestors were arrested in Hanoi after unfurling a banner and shouting ""Boycott the Beijing",The name of the activist who promised peaceful protests was not mentioned in the provided context.,2.84,5.27,8.11
What route was planned for an alternative march?,from the Obelisk to the city hall,"supportive Londoners. Xinhua said that protesters were ""radicals"" who ""trampled human rights"" and
whose activities were condemned by ""the people of the world who cordially love the Olympic spirit"".
The route carried the torch through six continents from March 2008 to May 2008 to August 2008.
The planned route originally included a stop in Taipei between Ho Chi Minh City and Hong Kong,
the city of Buenos Aires, but all of these will be peaceful."" Among other activities, protesters
organized an alternative march that went from the Obelisk to the city hall, featuring their own
""Human Rights Torch."" A giant banner reading ""Free Tibet"" was also displayed on the torch route.
According to a representative from the NGO \'Human Rights Torch Relay\', their objective was to
there would be no closing ceremony at Justin Herman Plaza, there were angry reactions. One
demonstrator was quoted as saying that the route changes were an effort to ""thwart any organized
protest that had been planned."" San Francisco Board of Supervisors President Aaron Peskin, a critic
of Mayor Gavin Newsom, said that it was a ""cynical plan to please the Bush State Department and","The planned route originally included a stop in Taipei between Ho Chi Minh City and Hong Kong, and the city of Buenos Aires.",Traditional RAG,2.75,6.35,9.1,"supportive Londoners. Xinhua said that protesters were ""radicals"" who ""trampled human rights"" and
whose activities were condemned by ""the people of the world who cordially love the Olympic spirit"".
The route carried the torch through six continents from March 2008 to May 2008 to August 2008.
The planned route originally included a stop in Taipei between Ho Chi Minh City and Hong Kong,

the city of Buenos Aires, but all of these will be peaceful."" Among other activities, protesters
organized an alternative march that went from the Obelisk to the city hall, featuring their own
""Human Rights Torch."" A giant banner reading ""Free Tibet"" was also displayed on the torch route.
According to a representative from the NGO \'Human Rights Torch Relay\', their objective was to

there would be no closing ceremony at Justin Herman Plaza, there were angry reactions. One
demonstrator was quoted as saying that the route changes were an effort to ""thwart any organized
protest that had been planned."" San Francisco Board of Supervisors President Aaron Peskin, a critic
of Mayor Gavin Newsom, said that it was a ""cynical plan to please the Bush State Department and",The planned route for the alternative march went from the Obelisk to the city hall in Buenos Aires.,2.78,5.25,8.03
What was on the banner that was displayed where the torchbearers would carry the torch?,Free Tibet,"Consulate and other pro-China groups, and both pro-Tibet and Darfur protesters. The non-Chinese
demonstrators were reported to have been swamped and trailed by angry crowds. Around 2 pm
PDT (21:00 UTC), the torch resurfaced about 3 km (1.9 mi) away from the stadium along Van Ness
Avenue, a heavily trafficked thoroughfare that was not on official route plans. Television reports
torchbearer being Gabriela Sabatini. The 13.8 km route included landmarks like the obelisk and
Plaza de Mayo. The day was marked by several pro-Tibet protests, which included a giant banner
reading ""Free Tibet"", and an alternative ""human rights torch"" that was lit by protesters and paraded
along the route the flame was to take. Most of these protests were peaceful in nature, and the torch
showed the flame flanked by motorcycles and uniformed police officers. Two torchbearers carried
the flame running slowly behind a truck and surrounded by Olympic security guards. During the
torch relay, two torchbearers, Andrew Michael who uses a wheelchair and is the Vice President for
Sustainable Development for the Bay Area Council and Director of Partnerships For Change, and an","The banner read ""Free Tibet.""",Traditional RAG,2.75,3.96,6.71,"Consulate and other pro-China groups, and both pro-Tibet and Darfur protesters. The non-Chinese
demonstrators were reported to have been swamped and trailed by angry crowds. Around 2 pm
PDT (21:00 UTC), the torch resurfaced about 3 km (1.9 mi) away from the stadium along Van Ness
Avenue, a heavily trafficked thoroughfare that was not on official route plans. Television reports

torchbearer being Gabriela Sabatini. The 13.8 km route included landmarks like the obelisk and
Plaza de Mayo. The day was marked by several pro-Tibet protests, which included a giant banner
reading ""Free Tibet"", and an alternative ""human rights torch"" that was lit by protesters and paraded
along the route the flame was to take. Most of these protests were peaceful in nature, and the torch

showed the flame flanked by motorcycles and uniformed police officers. Two torchbearers carried
the flame running slowly behind a truck and surrounded by Olympic security guards. During the
torch relay, two torchbearers, Andrew Michael who uses a wheelchair and is the Vice President for
Sustainable Development for the Bay Area Council and Director of Partnerships For Change, and an",Sorry. I cannot find the answer based on the context.,3.19,3.96,7.15
What is the name of the protester who said they would not try to extinguish the torch?,Jorge Carcavallo.,"Protests began as soon as Redgrave started the event, leading to at least thirty-five arrests. In
Ladbroke Grove a demonstrator attempted to snatch the torch from Konnie Huq in a momentary
struggle, and in a separate incident, a fire extinguisher was set off near the torch. The Chinese
ambassador carried the torch through Chinatown after an unpublicized change to the route amid
with protesters, throwing rocks, bottles, and punches. A North Korean defector whose brother
defected to China but was captured and executed by the DPRK, attempted to set himself on fire in
protest of China\'s treatment of North Korean refugees. He poured gasoline on himself but police
quickly surrounded him and carried him away. Two other demonstrators tried to storm the torch but
just lying."" Libération also reported that it had been accused of bias by the Chinese media. Of the 80
torch-bearers in London, Sir Steve Redgrave, who started the relay, mentioned to the media that he
had received e-mailed pleas to boycott the event and could ""see why they would like to make an
issue"" of it. Francesca Martinez and Richard Vaughan refused to carry the torch, while Konnie Huq",The protester who said they would not try to extinguish the torch was Konnie Huq.,Traditional RAG,3.44,5.48,8.92,"Protests began as soon as Redgrave started the event, leading to at least thirty-five arrests. In
Ladbroke Grove a demonstrator attempted to snatch the torch from Konnie Huq in a momentary
struggle, and in a separate incident, a fire extinguisher was set off near the torch. The Chinese
ambassador carried the torch through Chinatown after an unpublicized change to the route amid

with protesters, throwing rocks, bottles, and punches. A North Korean defector whose brother
defected to China but was captured and executed by the DPRK, attempted to set himself on fire in
protest of China\'s treatment of North Korean refugees. He poured gasoline on himself but police
quickly surrounded him and carried him away. Two other demonstrators tried to storm the torch but

just lying."" Libération also reported that it had been accused of bias by the Chinese media. Of the 80
torch-bearers in London, Sir Steve Redgrave, who started the relay, mentioned to the media that he
had received e-mailed pleas to boycott the event and could ""see why they would like to make an
issue"" of it. Francesca Martinez and Richard Vaughan refused to carry the torch, while Konnie Huq",The protester who said they would not try to extinguish the torch was Konnie Huq.,2.91,5.25,8.17
Where did the other march travel form and to?,Obelisk to the city hall,"took an impromptu half-day holiday for the only Latin American stop on the flame\'s five-continent
journey. , ' India: Due to concerns about pro-Tibet protests, the relay through New Delhi on April 17
was cut to just 2.3 km (less than 1.5 miles), which was shared amongst 70 runners. It concluded at
the India Gate. The event was peaceful due to the public not being allowed at the relay. A total of
was not impeded. Chinese immigrants also turned out in support of the Games, but only minor
scuffles were reported between both groups. Runners surrounded by rows of security carried the
Olympic flame past thousands of jubilant Argentines in the most trouble-free torch relay in nearly a
week. People showered the parade route with confetti as banks, government offices and businesses
supportive Londoners. Xinhua said that protesters were ""radicals"" who ""trampled human rights"" and
whose activities were condemned by ""the people of the world who cordially love the Olympic spirit"".
The route carried the torch through six continents from March 2008 to May 2008 to August 2008.
The planned route originally included a stop in Taipei between Ho Chi Minh City and Hong Kong,",The other march traveled from India to Argentina.,Traditional RAG,2.75,4.09,6.84,"took an impromptu half-day holiday for the only Latin American stop on the flame\'s five-continent
journey. , ' India: Due to concerns about pro-Tibet protests, the relay through New Delhi on April 17
was cut to just 2.3 km (less than 1.5 miles), which was shared amongst 70 runners. It concluded at
the India Gate. The event was peaceful due to the public not being allowed at the relay. A total of

was not impeded. Chinese immigrants also turned out in support of the Games, but only minor
scuffles were reported between both groups. Runners surrounded by rows of security carried the
Olympic flame past thousands of jubilant Argentines in the most trouble-free torch relay in nearly a
week. People showered the parade route with confetti as banks, government offices and businesses

supportive Londoners. Xinhua said that protesters were ""radicals"" who ""trampled human rights"" and
whose activities were condemned by ""the people of the world who cordially love the Olympic spirit"".
The route carried the torch through six continents from March 2008 to May 2008 to August 2008.
The planned route originally included a stop in Taipei between Ho Chi Minh City and Hong Kong,",The other march traveled from New Delhi to India Gate.,2.71,4.17,6.87
What was the name given to the torch carried on the alternative march?,Human Rights Torch.,"Answer: A giant banner reading ""Free Tibet"".
Score: 0.89
Answer: The alternative torch represented human rights.
Score: 0.73
Answer: The Chinese ambassador.
Score: 0.70","The name given to the torch carried on the alternative march was ""The alternative torch represented human rights.""",Q-A Index,2.74,5.54,8.27,"Consulate and other pro-China groups, and both pro-Tibet and Darfur protesters. The non-Chinese
demonstrators were reported to have been swamped and trailed by angry crowds. Around 2 pm
PDT (21:00 UTC), the torch resurfaced about 3 km (1.9 mi) away from the stadium along Van Ness
Avenue, a heavily trafficked thoroughfare that was not on official route plans. Television reports

was not impeded. Chinese immigrants also turned out in support of the Games, but only minor
scuffles were reported between both groups. Runners surrounded by rows of security carried the
Olympic flame past thousands of jubilant Argentines in the most trouble-free torch relay in nearly a
week. People showered the parade route with confetti as banks, government offices and businesses

torchbearer being Gabriela Sabatini. The 13.8 km route included landmarks like the obelisk and
Plaza de Mayo. The day was marked by several pro-Tibet protests, which included a giant banner
reading ""Free Tibet"", and an alternative ""human rights torch"" that was lit by protesters and paraded
along the route the flame was to take. Most of these protests were peaceful in nature, and the torch","The name given to the torch carried on the alternative march was ""human rights torch.""",3.31,5.25,8.56
What did the large banner say that was along the alternative march route?,Free Tibet,"the city of Buenos Aires, but all of these will be peaceful."" Among other activities, protesters
organized an alternative march that went from the Obelisk to the city hall, featuring their own
""Human Rights Torch."" A giant banner reading ""Free Tibet"" was also displayed on the torch route.
According to a representative from the NGO \'Human Rights Torch Relay\', their objective was to
joined the protest, saying ""I\'m very proud that in Hong Kong we still have people brave enough to
speak out."" Pro-democracy activists were overwhelmed by a crowd of torch supporters with insults
like ""running dog,"" ""traitor,"" ""get out!,"" and ""I love the Communist Party."" At the same time, about 10
members of the Civil Human Rights Front had orange banners calling for human rights
torchbearer being Gabriela Sabatini. The 13.8 km route included landmarks like the obelisk and
Plaza de Mayo. The day was marked by several pro-Tibet protests, which included a giant banner
reading ""Free Tibet"", and an alternative ""human rights torch"" that was lit by protesters and paraded
along the route the flame was to take. Most of these protests were peaceful in nature, and the torch","The large banner along the alternative march route read ""Free Tibet.""",Traditional RAG,2.67,4.63,7.3,"the city of Buenos Aires, but all of these will be peaceful."" Among other activities, protesters
organized an alternative march that went from the Obelisk to the city hall, featuring their own
""Human Rights Torch."" A giant banner reading ""Free Tibet"" was also displayed on the torch route.
According to a representative from the NGO \'Human Rights Torch Relay\', their objective was to

joined the protest, saying ""I\'m very proud that in Hong Kong we still have people brave enough to
speak out."" Pro-democracy activists were overwhelmed by a crowd of torch supporters with insults
like ""running dog,"" ""traitor,"" ""get out!,"" and ""I love the Communist Party."" At the same time, about 10
members of the Civil Human Rights Front had orange banners calling for human rights

torchbearer being Gabriela Sabatini. The 13.8 km route included landmarks like the obelisk and
Plaza de Mayo. The day was marked by several pro-Tibet protests, which included a giant banner
reading ""Free Tibet"", and an alternative ""human rights torch"" that was lit by protesters and paraded
along the route the flame was to take. Most of these protests were peaceful in nature, and the torch","The giant banner along the alternative march route read ""Free Tibet"".",2.73,4.1,6.83
What was the unsanctioned alternative relay called?,Human Rights Torch Relay,"were also thrown from the crowd. In Japan, the Mayor of Nagano, Shoichi Washizawa said that it
has become a ""great nuisance"" for the city to host the torch relay prior to the Nagano leg.
Washizawa\'s aides said the mayor\'s remark was not criticism about the relay itself but about the
potential disruptions and confusion surrounding it.\u3000A city employee of the Nagano City Office
2008_Summer_Olympics_torch_relay
relay was initially supposed to carry the torch around Islamabad, but the entire relay was cancelled
due to security concerns regarding ""militant threats or anti-China protests"", and replaced by an
indoors ceremony with the torch carried around the track of Jinnah Stadium. In fear of violent
about 1:17 pm PDT (20:17 UTC), briefly held aloft by American and Chinese Olympic officials. The
relay descended into confusion as the first runner in the elaborately planned relay disappeared into
a warehouse on a waterfront pier where it stayed for a half-an-hour. There were clashes between
thousands of pro-China demonstrators, many of whom said they were bused in by the Chinese","The unsanctioned alternative relay was called the ""Great Nuisance"".",Traditional RAG,2.85,5.13,7.98,"were also thrown from the crowd. In Japan, the Mayor of Nagano, Shoichi Washizawa said that it
has become a ""great nuisance"" for the city to host the torch relay prior to the Nagano leg.
Washizawa\'s aides said the mayor\'s remark was not criticism about the relay itself but about the
potential disruptions and confusion surrounding it.\u3000A city employee of the Nagano City Office

2008_Summer_Olympics_torch_relay
relay was initially supposed to carry the torch around Islamabad, but the entire relay was cancelled
due to security concerns regarding ""militant threats or anti-China protests"", and replaced by an
indoors ceremony with the torch carried around the track of Jinnah Stadium. In fear of violent

about 1:17 pm PDT (20:17 UTC), briefly held aloft by American and Chinese Olympic officials. The
relay descended into confusion as the first runner in the elaborately planned relay disappeared into
a warehouse on a waterfront pier where it stayed for a half-an-hour. There were clashes between
thousands of pro-China demonstrators, many of whom said they were bused in by the Chinese","The unsanctioned alternative relay was called the ""Great Nuisance.""",2.83,4.52,7.35
Who was the outreach director of HRTR?,Susan Prager,"with the event under special powers enacted in the wake of massive protests against Chinese policy
toward Tibet."" At one point, groups of Chinese students surrounded and intimidated pro-Tibet
protesters. One person had to be pulled aboard a police launch when a group of pro-Chinese
students looked like they might force him into the lake. The outreach director of HRTR, Susan
Prager, is also the communication director of ""Friends of Falun Gong"", a quasi-government
non-profit funded by fmr. Congressman Tom Lanto\'s wife and Ambassador Mark Palmer of NED. A
major setback to the event was caused by footballer Diego Maradona, scheduled to open the relay
through Buenos Aires, pulling out in an attempt to avoid the Olympic controversy. Trying to avoid the
at Harvard University\'s reunion for African American alumni during the 2003-04 academic year, two
prominent black professors at the institution-Lani Guinier and Henry Louis Gates-pointed out an
unintended effect of affirmative action policies at Harvard. They stated that only about a third of
Affirmative_action_in_the_United_States",Susan Prager was the outreach director of HRTR,Traditional RAG,2.7,4.16,6.87,"with the event under special powers enacted in the wake of massive protests against Chinese policy
toward Tibet."" At one point, groups of Chinese students surrounded and intimidated pro-Tibet
protesters. One person had to be pulled aboard a police launch when a group of pro-Chinese
students looked like they might force him into the lake. The outreach director of HRTR, Susan

Prager, is also the communication director of ""Friends of Falun Gong"", a quasi-government
non-profit funded by fmr. Congressman Tom Lanto\'s wife and Ambassador Mark Palmer of NED. A
major setback to the event was caused by footballer Diego Maradona, scheduled to open the relay
through Buenos Aires, pulling out in an attempt to avoid the Olympic controversy. Trying to avoid the

at Harvard University\'s reunion for African American alumni during the 2003-04 academic year, two
prominent black professors at the institution-Lani Guinier and Henry Louis Gates-pointed out an
unintended effect of affirmative action policies at Harvard. They stated that only about a third of
Affirmative_action_in_the_United_States",Susan Prager was the outreach director of HRTR.,2.76,3.88,6.64
What was the non profit that was funded by Mark Palmer?,Friends of Falun Gong,"Prager, is also the communication director of ""Friends of Falun Gong"", a quasi-government
non-profit funded by fmr. Congressman Tom Lanto\'s wife and Ambassador Mark Palmer of NED. A
major setback to the event was caused by footballer Diego Maradona, scheduled to open the relay
through Buenos Aires, pulling out in an attempt to avoid the Olympic controversy. Trying to avoid the
there would be no closing ceremony at Justin Herman Plaza, there were angry reactions. One
demonstrator was quoted as saying that the route changes were an effort to ""thwart any organized
protest that had been planned."" San Francisco Board of Supervisors President Aaron Peskin, a critic
of Mayor Gavin Newsom, said that it was a ""cynical plan to please the Bush State Department and
contractors to show \'affirmative action\' to meet the goals of increasing minority employment. The
first time ""affirmative action"" is used by the federal government concerning race is in President John
F. Kennedy\'s Executive Order 10925, which was chaired by Vice President Johnson. At Johnson\'s
inaugural ball in Texas, he met with a young black lawyer, Hobart Taylor Jr., and gave him the task",Friends of Falun Gong was funded by Mark Palmer's wife.,Traditional RAG,2.71,4.64,7.35,"Prager, is also the communication director of ""Friends of Falun Gong"", a quasi-government
non-profit funded by fmr. Congressman Tom Lanto\'s wife and Ambassador Mark Palmer of NED. A
major setback to the event was caused by footballer Diego Maradona, scheduled to open the relay
through Buenos Aires, pulling out in an attempt to avoid the Olympic controversy. Trying to avoid the

there would be no closing ceremony at Justin Herman Plaza, there were angry reactions. One
demonstrator was quoted as saying that the route changes were an effort to ""thwart any organized
protest that had been planned."" San Francisco Board of Supervisors President Aaron Peskin, a critic
of Mayor Gavin Newsom, said that it was a ""cynical plan to please the Bush State Department and

contractors to show \'affirmative action\' to meet the goals of increasing minority employment. The
first time ""affirmative action"" is used by the federal government concerning race is in President John
F. Kennedy\'s Executive Order 10925, which was chaired by Vice President Johnson. At Johnson\'s
inaugural ball in Texas, he met with a young black lawyer, Hobart Taylor Jr., and gave him the task",Friends of Falun Gong,2.71,3.11,5.82
