Pipeline,Ground Truth Answer,Generated Answer,BLEU,SacreBLEU,ROUGE-1,ROUGE-2,ROUGE-L,METEOR,Exact Match,BERT Precision,BERT Recall,BERT F1
LangChain MultiVector Retriever (English),paralympic games,the torch relay was decided to not be held for the paralympic games.,0.041263216881455095,0.05679677445135579,0.2666666666666667,0.15384615384615385,0.2666666666666667,0.5859375000000001,0,0.14152021706104279,0.5423265099525452,0.31619301438331604
LangChain MultiVector Retriever (English),lucky cloud,the chinese design used on the olympic torch is known as lucky cloud.,0.041263216881455095,0.05679677445135579,0.2666666666666667,0.15384615384615385,0.2666666666666667,0.5859375000000001,0,0.006199412047863007,0.20064663887023926,0.09897281974554062
LangChain MultiVector Retriever (English),aluminum.,the olympic torch is made from aluminum.,0.07122722710132624,0.1104479556707894,0.25,0.0,0.25,0.7211538461538463,0,0.2629242539405823,0.5598217248916626,0.39889031648635864
LangChain MultiVector Retriever (English),985 grams,the olympic torch weighs 985 grams.,0.081939171811711,0.13134549472120788,0.5,0.33333333333333337,0.5,0.75,0,0.15128423273563385,0.5635616183280945,0.33031055331230164
LangChain MultiVector Retriever (English),an ignition key,an ignition key is used to light the flame on the olympic torch.,0.09010288336595924,0.10571070857151538,0.375,0.2857142857142857,0.375,0.7181571815718159,0,0.1448882818222046,0.5449354648590088,0.319336473941803
LangChain MultiVector Retriever (English),lucky cloud,the design name of the chinese olympic torch was lucky cloud.,0.04774753205784679,0.06772997136689071,0.3076923076923077,0.18181818181818182,0.3076923076923077,0.6250000000000001,0,-0.03596796467900276,0.22293800115585327,0.08274287730455399
LangChain MultiVector Retriever (English),aluminum.,the torch is constructed from aluminum.,0.081939171811711,0.13134549472120788,0.2857142857142857,0.0,0.2857142857142857,0.75,0,0.3108557462692261,0.5691067576408386,0.4312068819999695
LangChain MultiVector Retriever (English),37,the torch flame will stay lit in winds of up to 37 miles per hour mph.,0.014936192853457254,0.022869567780619007,0.11764705882352941,0.0,0.11764705882352941,0.19230769230769232,0,-0.3698734939098358,-0.0975111797451973,-0.2508832812309265
LangChain MultiVector Retriever (English),2,the torch can stay lit in rainfall of up to 2 inches per hour.,0.016591439325163958,0.02627961710408444,0.13333333333333333,0.0,0.13333333333333333,0.20833333333333337,0,-0.30160245299339294,-0.3816889524459839,-0.33842360973358154
LangChain MultiVector Retriever (English),propane.,the torch is fueled by cans of propane.,0.06321087140417253,0.09535414040914192,0.2222222222222222,0.0,0.2222222222222222,0.6944444444444445,0,0.30790644884109497,0.5711219906806946,0.43031081557273865
LangChain MultiVector Retriever (English),a chartered air china airbus a330,the olympic torch was carried on an air china airbus a330 registered b6075.,0.1777835117834348,0.17778351178343482,0.42105263157894735,0.35294117647058826,0.42105263157894735,0.5836397058823529,0,0.3112994134426117,0.5396825075149536,0.4190909266471863
LangChain MultiVector Retriever (English),red and yellow,the chartered plane was painted in red and yellow.,0.12867201458772706,0.15619699684601282,0.5,0.4,0.5,0.7957957957957957,0,0.1392713487148285,0.5684102177619934,0.32418540120124817
LangChain MultiVector Retriever (English),march 2008,it was decided in march 2008 that air china would be the official torch carrier.,0.036422694300114855,0.048911878744807256,0.23529411764705882,0.13333333333333333,0.23529411764705882,0.5514705882352943,0,-0.0531119704246521,0.637356698513031,0.20774208009243011
LangChain MultiVector Retriever (English),130 days,the plane traveled for a duration of 130 days.,0.056950849982219685,0.08392229812593097,0.3636363636363636,0.2222222222222222,0.3636363636363636,0.6696428571428572,0,0.1781962662935257,0.5344157814979553,0.3367011547088623
LangChain MultiVector Retriever (English),airbus a330,the torch team traveled in an airbus a330.,0.06321087140417253,0.09535414040914192,0.4,0.25,0.4,0.6944444444444445,0,0.16198842227458954,0.49557849764823914,0.31163325905799866
LangChain MultiVector Retriever (English),red and yellow,the aircraft was painted in the red and yellow colors of the olympic games.,0.08392010470693981,0.0978237574896145,0.35294117647058826,0.2666666666666667,0.35294117647058826,0.701058201058201,0,0.027529185637831688,0.3900849521160126,0.18634562194347382
LangChain MultiVector Retriever (English),air china,air china,0.2213885886251307,1.0000000000000004,1.0,1.0,1.0,0.9375,1,1.0,1.0,1.0
LangChain MultiVector Retriever (English),130,the plane traveled with the torch team for a duration of 130 days.,0.01758542189440898,0.028398387225677894,0.14285714285714288,0.0,0.14285714285714288,0.2173913043478261,0,-0.25224190950393677,-0.12991546094417572,-0.19055983424186707
LangChain MultiVector Retriever (English),21,the aircraft visited 21 different countries and regions.,0.02573285025273419,0.04767707020457095,0.2222222222222222,0.0,0.2222222222222222,0.27777777777777785,0,-0.2337891310453415,-0.05132192000746727,-0.14694121479988098
LangChain MultiVector Retriever (English),six,the torch visited six continents.,0.03759340464156993,0.08116697886877475,0.33333333333333337,0.0,0.33333333333333337,0.33333333333333337,0,-0.22266051173210144,-0.049424391239881516,-0.1395144909620285
LangChain MultiVector Retriever (English),taipei,the planned stop between ho chi minh city and hong kong was taipei.,0.01758542189440898,0.028398387225677894,0.14285714285714288,0.0,0.14285714285714288,0.2173913043478261,0,-0.11101168394088745,0.3617398142814636,0.08225950598716736
LangChain MultiVector Retriever (English),hong kong and macau,hong kong and macau.,0.668740304976422,0.6687403049764218,1.0,1.0,1.0,0.9679878048780488,0,0.8766249418258667,0.9363631010055542,0.9064159989356995
LangChain MultiVector Retriever (English),continents,the torch route covered six continents.,0.03235934848975789,0.06567274736060395,0.2857142857142857,0.0,0.2857142857142857,0.31250000000000006,0,-0.3621399998664856,-0.13683143258094788,-0.25992345809936523
LangChain MultiVector Retriever (English),taiwan.,the governments of taiwan and china disagreed on the language used to describe the torch route.,0.017762226812384152,0.02719665272174911,0.11764705882352941,0.0,0.11764705882352941,0.2857142857142857,0,-0.08525357395410538,0.5214853882789612,0.1500239372253418
LangChain MultiVector Retriever (English),hong kong and macau,taiwan did not want to be considered equal with ho chi minh city and hong kong in the language of the torch's route description.,0.025810218454045842,0.03333744983027298,0.20689655172413793,0.07407407407407407,0.13793103448275865,0.41218637992831547,0,-0.08177675306797028,0.25457626581192017,0.0656607374548912
LangChain MultiVector Retriever (English),24,the context does not provide information on how many kilometers the torch was supposed to go through taiwan.,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.40316784381866455,-0.3497365415096283,-0.3719632923603058
LangChain MultiVector Retriever (English),"march 24, 2008","the olympic flame was lit on march 24, 2008.",0.23462350320528,0.23462350320528005,0.5,0.4,0.5,0.8444148936170214,0,0.25756359100341797,0.6617729663848877,0.4352043569087982
LangChain MultiVector Retriever (English),"olympia, greece.","the olympic flame was lit at olympia, greece.",0.2626909894424158,0.26269098944241587,0.4,0.25,0.4,0.8627717391304348,0,0.3038488030433655,0.6221619844436646,0.44867420196533203
LangChain MultiVector Retriever (English),alexandros nikolaidis,the first person to carry the torch was alexandros nikolaidis from greece.,0.044249674106354955,0.06178110636313396,0.2857142857142857,0.16666666666666669,0.2857142857142857,0.6048387096774195,0,0.227836474776268,0.5298178195953369,0.36561766266822815
LangChain MultiVector Retriever (English),maria nafpliotou,"the olympic flame was ignited at olympia, greece.",0.0,0.0,0.0,0.0,0.0,0.0,0,-0.001756578218191862,0.20196974277496338,0.09485944360494614
LangChain MultiVector Retriever (English),"march 30, 2008",demonstrators yelled for tibet to be freed as the torch drove past the national assembly.,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.1461065411567688,-0.04552419111132622,-0.09401842951774597
LangChain MultiVector Retriever (English),"olympia, greece.","the original olympic events were held in olympia, greece.",0.23462350320528,0.23462350320528005,0.3636363636363636,0.2222222222222222,0.3636363636363636,0.8444148936170214,0,0.201016366481781,0.5582420229911804,0.36016443371772766
LangChain MultiVector Retriever (English),maria nafpliotou,maria nafpliotou,0.2213885886251307,1.0000000000000004,1.0,1.0,1.0,0.9375,1,0.9999997615814209,0.9999997615814209,0.9999997615814209
LangChain MultiVector Retriever (English),silver,"the first torchbearer, alexandros nikolaidis, had a silver medal from the 2004 summer olympics in taekwondo.",0.013609139615996616,0.020244462660665506,0.11764705882352941,0.0,0.11764705882352941,0.17857142857142858,0,-0.41242945194244385,-0.2763393521308899,-0.34537655115127563
LangChain MultiVector Retriever (English),alexandros nikolaidis,the name of the first torchbearer for the 2008 olympics was lee lai shan.,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.043727532029151917,0.13745687901973724,0.043346211314201355
LangChain MultiVector Retriever (English),nepal.,nepal had police experience violent problems with protesters.,0.030601688609851067,0.05669791110976001,0.2222222222222222,0.0,0.2222222222222222,0.3703703703703704,0,0.14952519536018372,0.6838403344154358,0.3711579442024231
LangChain MultiVector Retriever (English),carrefour,carrefour,1.0,1.0000000000000004,1.0,0.0,1.0,0.5,1,1.0000011920928955,1.0000011920928955,1.0000011920928955
LangChain MultiVector Retriever (English),the lvmh group,the biggest shareholder of carrefour was the lvmh group.,0.12867201458772706,0.15619699684601282,0.5,0.4,0.5,0.7957957957957957,0,0.24332550168037415,0.5910477638244629,0.39924857020378113
LangChain MultiVector Retriever (English),the french flag,the context does not provide information about protesters burning anything.,0.021598265052211615,0.03747776736677921,0.15384615384615383,0.0,0.15384615384615383,0.13157894736842107,0,-0.11885533481836319,-0.061336714774370193,-0.08656841516494751
LangChain MultiVector Retriever (English),kunming,kunming,1.0,1.0000000000000004,1.0,0.0,1.0,0.5,1,1.0000004768371582,1.0000004768371582,1.0000004768371582
LangChain MultiVector Retriever (English),the lvmh group,the lvmh group was accused of donating funds to the dalai lama.,0.09731464224859211,0.11498759556447218,0.4,0.3076923076923077,0.4,0.6388888888888888,0,0.20430336892604828,0.6948973536491394,0.4123270809650421
LangChain MultiVector Retriever (English),censorship,the chinese government attempted to ease the boycott situation through censorship by deleting comments related to the boycott of carrefour on popular internet forums and barring searches of words related to the french protests.,0.008176856499690712,0.010559717178170818,0.05714285714285715,0.0,0.05714285714285715,0.11363636363636365,0,-0.24993985891342163,0.22182482481002808,-0.06253991276025772
LangChain MultiVector Retriever (English),carrefour,carrefour,1.0,1.0000000000000004,1.0,0.0,1.0,0.5,1,1.0000011920928955,1.0000011920928955,1.0000011920928955
LangChain MultiVector Retriever (English),people's daily,the peoples daily.,0.061033220311973134,0.1597357760615681,0.3333333333333333,0.0,0.3333333333333333,0.32258064516129037,0,0.12745167315006256,0.2269914746284485,0.17853513360023499
LangChain MultiVector Retriever (English),people's daily,people's daily,0.5757197301274735,1.0000000000000004,1.0,1.0,1.0,0.9814814814814815,1,1.0000007152557373,1.0000007152557373,1.0000007152557373
LangChain MultiVector Retriever (English),legal,the chinese people were told to show patriotism in an orderly and legal manner.,0.016591439325163958,0.02627961710408444,0.13333333333333333,0.0,0.13333333333333333,0.20833333333333337,0,-0.23681208491325378,-0.1515170782804489,-0.19145449995994568
LangChain MultiVector Retriever (English),almaty,the context does not provide information about a virgin site visited by the torch on april 2.,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.22665473818778992,-0.27116239070892334,-0.24448002874851227
LangChain MultiVector Retriever (English),nursultan nazarbaev.,"the first person to be handed the torch in almaty was the president of kazakhstan, nursultan nazarbaev.",0.06601455493829528,0.07535838128770539,0.21052631578947367,0.11764705882352941,0.21052631578947367,0.640096618357488,0,0.11646445840597153,0.6228457093238831,0.32778528332710266
LangChain MultiVector Retriever (English),the president of kazakhstan,nursultan nazarbaev was the president of kazakhstan.,0.345720784641941,0.34572078464194095,0.7272727272727273,0.6666666666666666,0.7272727272727273,0.9019886363636364,0,0.4112631380558014,0.7455482482910156,0.5631905794143677
LangChain MultiVector Retriever (English),astana square.,astana square,0.13427896671164932,0.6065306597126336,1.0,1.0,1.0,0.6465517241379309,0,0.9157280325889587,0.7979389429092407,0.8556246161460876
LangChain MultiVector Retriever (English),uighur activists,uighur activists were arrested in almaty.,0.081939171811711,0.13134549472120788,0.5,0.33333333333333337,0.5,0.75,0,0.25335097312927246,0.6329048275947571,0.42162108421325684
LangChain MultiVector Retriever (English),kazakhstan,kazakhstan,1.0,1.0000000000000004,1.0,0.0,1.0,0.5,1,1.0,1.0,1.0
LangChain MultiVector Retriever (English),nursultan nazarbaev.,nursultan nazarbaev,0.13427896671164932,0.6065306597126336,1.0,1.0,1.0,0.6465517241379309,0,0.9299508333206177,0.8779132962226868,0.9039801359176636
LangChain MultiVector Retriever (English),20,20 km,0.06754436142034707,0.49999999999999994,0.6666666666666666,0.0,0.6666666666666666,0.45454545454545453,0,0.031863320618867874,0.43338850140571594,0.20484185218811035
LangChain MultiVector Retriever (English),uighur,uighur activists were reported to have been arrested.,0.02573285025273419,0.04767707020457095,0.2222222222222222,0.0,0.2222222222222222,0.27777777777777785,0,-0.013799447566270828,0.40890201926231384,0.16562241315841675
LangChain MultiVector Retriever (English),april 3,the torch relay in istanbul was held on april 3.,0.05190794196013298,0.07495553473355841,0.33333333333333337,0.19999999999999998,0.33333333333333337,0.646551724137931,0,-0.032340310513973236,0.2782888412475586,0.10631418973207474
LangChain MultiVector Retriever (English),taksim square,the context does not provide information about where the torch ended up in istanbul.,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.09074940532445908,0.055351827293634415,-0.018686488270759583
LangChain MultiVector Retriever (English),sultanahmet square,the torch relay in islamabad was cancelled and replaced by an indoors ceremony at jinnah stadium.,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.023954955860972404,0.303057461977005,0.12094875425100327
LangChain MultiVector Retriever (English),uyghurs living in turkey,uyghurs living in turkey protested for their compatriots who were in xinjiang.,0.1933853138176172,0.19338531381761725,0.5,0.42857142857142855,0.5,0.6441326530612245,0,0.17575381696224213,0.6094107627868652,0.3629620373249054
LangChain MultiVector Retriever (English),istanbul,the olympic torch was in istanbul on april 3rd.,0.023457495174891017,0.04196114906296548,0.19999999999999998,0.0,0.19999999999999998,0.2631578947368421,0,-0.2587748169898987,0.2386164367198944,-0.0642181858420372
LangChain MultiVector Retriever (English),sultanahmet square,the context does not provide information about the starting place of the torch relay in turkey.,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.05379772186279297,0.12996624410152435,0.034330807626247406
LangChain MultiVector Retriever (English),taksim square.,the context does not provide information about where the torch relay finished in turkey.,0.016591439325163958,0.02627961710408444,0.0,0.0,0.0,0.11904761904761904,0,-0.056217413395643234,0.10385846346616745,0.02188277430832386
LangChain MultiVector Retriever (English),uyghurs,"uyghurs living in turkey protested for their compatriots living in xinjiang, china.",0.01758542189440898,0.028398387225677894,0.15384615384615385,0.0,0.15384615384615385,0.2173913043478261,0,-0.19102482497692108,0.43330347537994385,0.0431070476770401
LangChain MultiVector Retriever (English),arrested,a man with a tibetan flag who tried to stop the torch was dragged off by police.,0.0,0.0,0.0,0.0,0.0,0.1851851851851852,0,-0.15990790724754333,-0.046730853617191315,-0.10220836848020554
LangChain MultiVector Retriever (English),april 5,the torch arrived in saint petersburg on april 5.,0.056950849982219685,0.08392229812593097,0.3636363636363636,0.2222222222222222,0.3636363636363636,0.6696428571428572,0,-0.017370223999023438,0.3331789970397949,0.13632145524024963
LangChain MultiVector Retriever (English),victory square,the start of the torch route in saint petersburg was at victory square.,0.041263216881455095,0.05679677445135579,0.2666666666666667,0.15384615384615385,0.2666666666666667,0.5859375000000001,0,0.020014652982354164,0.38088515400886536,0.17809219658374786
LangChain MultiVector Retriever (English),palace square,the torch route ended at the palace square in saint petersburg.,0.04774753205784679,0.06772997136689071,0.3076923076923077,0.18181818181818182,0.3076923076923077,0.6250000000000001,0,0.1033659353852272,0.40542635321617126,0.24020060896873474
LangChain MultiVector Retriever (English),fedor emelianenko,fedor emelianenko is the first mma fighter to participate in carrying the olympic torch.,0.03868052697542155,0.052559234208168874,0.25,0.14285714285714288,0.25,0.5681818181818182,0,0.09961909800767899,0.6643142700195312,0.3297078311443329
LangChain MultiVector Retriever (English),saint petersburg,the context provided does not specify where in russia the first stop for the relay was.,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.13649305701255798,0.06034781038761139,-0.04328623786568642
LangChain MultiVector Retriever (English),victory square,the torch relay in russia began at victory square in saint petersburg.,0.044249674106354955,0.06178110636313396,0.2857142857142857,0.16666666666666669,0.2857142857142857,0.6048387096774195,0,-0.04869048297405243,0.36777642369270325,0.1277397722005844
LangChain MultiVector Retriever (English),palace square.,the context does not provide information about the last location for the relay in russia.,0.01571523700545522,0.024455939372403628,0.0,0.0,0.0,0.11627906976744187,0,-0.009600291959941387,0.16372668743133545,0.07422275841236115
LangChain MultiVector Retriever (English),fedor emelianenko,fedor emelianenko,0.2213885886251307,1.0000000000000004,1.0,1.0,1.0,0.9375,1,0.9999996423721313,0.9999996423721313,0.9999996423721313
LangChain MultiVector Retriever (English),london,london hosted the 2012 summer olympics.,0.03235934848975789,0.06567274736060395,0.2857142857142857,0.0,0.2857142857142857,0.31250000000000006,0,-0.28931164741516113,0.2741518020629883,-0.07802839577198029
LangChain MultiVector Retriever (English),april 6,the torch route began in london on april 6.,0.056950849982219685,0.08392229812593097,0.3636363636363636,0.2222222222222222,0.3636363636363636,0.6696428571428572,0,0.016373425722122192,0.32389208674430847,0.1544378101825714
LangChain MultiVector Retriever (English),"750,000","security for the torch relay in london cost 750,000.",0.023457495174891017,0.04196114906296548,0.33333333333333337,0.19999999999999998,0.33333333333333337,0.2631578947368421,0,0.005261344835162163,0.5746283531188965,0.23337922990322113
LangChain MultiVector Retriever (English),london,london held the olympics in 2012.,0.03235934848975789,0.06567274736060395,0.2857142857142857,0.0,0.2857142857142857,0.31250000000000006,0,-0.2854057848453522,0.2609536051750183,-0.07851256430149078
LangChain MultiVector Retriever (English),wembley stadium,the torch relay began at wembley stadium in london for the 2008 olympics.,0.041263216881455095,0.05679677445135579,0.2666666666666667,0.15384615384615385,0.2666666666666667,0.5859375000000001,0,-0.01373097114264965,0.17300990223884583,0.07575546205043793
LangChain MultiVector Retriever (English),o2 arena,the relay ended at the o2 arena in the eastern part of the city.,0.03868052697542155,0.052559234208168874,0.25,0.14285714285714288,0.25,0.5681818181818182,0,0.021042540669441223,0.3875732719898224,0.18120700120925903
LangChain MultiVector Retriever (English),30 mi,the relay in england was 30 miles long.,0.02573285025273419,0.04767707020457095,0.2,0.0,0.2,0.6944444444444445,0,0.0993490144610405,0.4882434904575348,0.2689759135246277
LangChain MultiVector Retriever (English),thugs,thugs,1.0,1.0000000000000004,1.0,0.0,1.0,0.5,1,0.9999995231628418,0.9999995231628418,0.9999995231628418
LangChain MultiVector Retriever (English),80,"a total of 120 torchbearers were selected for the event, but one could not participate due to a flight delay. therefore, 119 torchbearers took part in the london route.",0.0,0.0,0.0,0.0,0.0,0.0,0,-0.42664963006973267,-0.3369745910167694,-0.37919723987579346
LangChain MultiVector Retriever (English),sir steve redgrave,the first person to hold the torch for the london route was chinese 1992 olympic champion swimmer lin li.,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.04779208078980446,0.02999773435294628,-0.00627753883600235
