Ground Truth,Modified RAG Answer,Traditional RAG Answer,BLEU (Mod),SacreBLEU (Mod),METEOR (Mod),ROUGE-1 (Mod),ROUGE-2 (Mod),ROUGE-L (Mod),BERTScore (Mod),Exact Match (Mod),BLEU (Trad),SacreBLEU (Trad),METEOR (Trad),ROUGE-1 (Trad),ROUGE-2 (Trad),ROUGE-L (Trad),BERTScore (Trad),Exact Match (Trad)
اولمپیا ، یونان,اولمپکس کی ابتدا اولمپیاء، یونان سے ہوئی۔,میک کوویکوو میں۔,0.03235934848975789,6.567274736060395,0.2,0.0,0.0,0.0,0.7740601897239685,0,0.0,0.0,0.0,0.0,0.0,0.0,0.6675142049789429,0
چینی سیکیورٹی عہدیداروں,مشعل کے قریب آگ بجھانے والا آلہ لگایا گیا۔,چینی سیکیورٹی عہدیداروں نے پیرس کے حصے کے دوران کئی بار مشعل کو بجھا دیا۔,0.0,0.0,0.0,0.0,0.0,0.0,0.6513890027999878,0,0.08392010470693981,9.78237574896145,0.701058201058201,0.0,0.0,0.0,0.796166181564331,0
ہانگ کانگ اور مکاؤ,تائیوان کو ہانگ کانگ اور مکاؤ کے برابر رکھنے کے طور پر سمجھا جا سکتا ہے۔,تائیوان کو ہانگ کانگ اور مکاؤ کے برابر رکھنے کے طور پر سمجھا جا سکتا ہے۔,0.1531024544118244,15.310245441182444,0.763221153846154,0.0,0.0,0.0,0.7806274890899658,0,0.1531024544118244,15.310245441182444,0.763221153846154,0.0,0.0,0.0,0.7806274890899658,0
مقابلہ مظاہرین,جمہوریت کے حامی کارکنوں کو مشعل کے حامیوں کی ایک بھیڑ نے مغلوب کیا۔,مظاہرین کو جاپانی قوم پرستوں نے دبایا۔,0.0,0.0,0.0,0.0,0.0,0.0,0.6719076633453369,0,0.03235934848975789,6.567274736060395,0.2,0.0,0.0,0.0,0.7305543422698975,0
موثر طور پر کوئی نہیں,سیاق و سباق میں احتجاج کا ذکر نہیں ہے۔,پیانگ یانگ میں مؤثر طور پر کوئی احتجاج نہیں ہوا۔,0.02573285025273419,4.767707020457095,0.0925925925925926,0.0,0.0,0.0,0.6867344975471497,0,0.13826707794313167,16.784459625186194,0.6818181818181819,0.0,0.0,0.0,0.7372189164161682,0
مقابلہ مظاہرین,کئی سو افراد نے بیجنگ کے حامیوں کا سامنا کرتے ہوئے احتجاج میں حصہ لیا۔,سان فرانسسکو میں، حامیوں کی تعداد مظاہرین کی تعداد سے بہت زیادہ تھی۔,0.0,0.0,0.0,0.0,0.0,0.0,0.6595950126647949,0,0.018724372764461875,3.0890553181566975,0.16129032258064518,0.0,0.0,0.0,0.7346686124801636,0
ایل وی ایم ایچ گروپ,کیریفور کا سب سے بڑا حصص دار ایل وی ایم ایچ گروپ تھا۔,ایل وی ایم ایچ گروپ۔,0.2891784933232572,28.917849332325716,0.8586206896551724,0.0,0.0,0.0,0.7785441875457764,0,1.0,100.00000000000004,0.996,0.0,0.0,0.0,0.8896277546882629,1
37,ہوا کی رفتار 37 میل فی گھنٹہ میں مشعل شعلہ روشن رہے گا۔,ہوا کی رفتار 37 میل فی گھنٹہ میں مشعل شعلہ روشن رہے گا۔,0.018724372764461875,3.0890553181566975,0.22727272727272732,1.0,0.0,1.0,0.502912163734436,0,0.018724372764461875,3.0890553181566975,0.22727272727272732,1.0,0.0,1.0,0.502912163734436,0
الومینیم,اولمپک مشعل ایلومینیم سے بنائی گئی ہے۔,مشعل ایلومینیم سے بنائی گئی ہے۔,0.0,0.0,0.0,0.0,0.0,0.0,0.7146981954574585,0,0.0,0.0,0.0,0.0,0.0,0.0,0.7328832745552063,0
سرخ اور پیلے,سیاق و سباق میں ہوائی جہاز کے رنگ کا ذکر نہیں ہے۔,ہوائی جہاز کو سرخ اور پیلے رنگ سے پینٹ کیا گیا تھا۔,0.0,0.0,0.0,0.0,0.0,0.0,0.6517162919044495,0,0.10584277604455784,12.605968092174914,0.7549857549857552,0.0,0.0,0.0,0.7042712569236755,0
ایک اگنیشن کلید,اولمپک مشعل کی شعلہ روشن کرنے کے لیے اولمپیاء، یونان میں قدیم اولمپک کھیلوں کے مقام کا استعمال کیا جاتا ہے۔,اولمپک مشعل کی شعلہ روشن کرنے کے لیے پروپین کے کین استعمال کیے جاتے ہیں۔,0.0,0.0,0.0,0.0,0.0,0.0,0.6563499569892883,0,0.0,0.0,0.0,0.0,0.0,0.0,0.6847438216209412,0
اولمپیا ، یونان,یونان کے قدیم اولمپک کھیلوں کے مقام پر۔,اصل اولمپک مقابلوں کا مقام سینٹ پیٹرزبرگ، روس ہے۔,0.028599617161713803,5.522397783539471,0.19230769230769235,0.0,0.0,0.0,0.7231008410453796,0,0.0,0.0,0.0,0.0,0.0,0.0,0.6797797083854675,0
130 دن,طیارے نے ایک دن سفر کیا۔,طیارے نے 130 دن سفر کیا۔,0.03759340464156993,8.116697886877475,0.20833333333333334,0.0,0.0,0.0,0.6886515021324158,0,0.09717716588732002,16.233395773754953,0.78125,1.0,0.0,1.0,0.7065232992172241,0
تائی پے,ہو چی منہ سٹی اور ہانگ کانگ کے درمیان کسی اسٹاپ کا ذکر نہیں ہے۔,ہو چی منہ سٹی اور ہانگ کانگ کے درمیان تائی پے میں ایک اسٹاپ ہونا تھا۔,0.0,0.0,0.0,0.0,0.0,0.0,0.6525487303733826,0,0.036422694300114855,4.891187874480726,0.5514705882352943,0.0,0.0,0.0,0.7185544967651367,0
سرخ اور پیلے,سیاق و سباق میں طیارے کے رنگ کا ذکر نہیں ہے۔,چارٹرڈ طیارہ سرخ اور پیلے رنگ کا تھا۔,0.0,0.0,0.0,0.0,0.0,0.0,0.6648361682891846,0,0.16508103044554204,20.556680845025987,0.8412698412698413,0.0,0.0,0.0,0.7019675970077515,0
کیرفور,کیرفور کمپنی کا بائیکاٹ کرنے کے لیے کارروائی کی گئی۔,فرانسیسی ہائپر مارٹ کیریفور کا بائیکاٹ کرنے کے لیے کارروائی کی گئی۔,0.023457495174891017,4.196114906296549,0.2631578947368421,0.0,0.0,0.0,0.7302479147911072,0,0.0,0.0,0.0,0.0,0.0,0.0,0.6961957216262817,0
نیپال,نیپال میں پولیس کو مظاہرین کے ساتھ پرتشدد مسائل کا سامنا کرنا پڑا۔,پولیس کو لیڈبروک گروو میں مظاہرین کے ساتھ پرتشدد مسائل کا سامنا کرنا پڑا۔,0.018724372764461875,3.0890553181566975,0.22727272727272732,0.0,0.0,0.0,0.6579650640487671,0,0.0,0.0,0.0,0.0,0.0,0.0,0.540332555770874,0
نورسلطان نزاربیف,الماتی میں مشعل کو سب سے پہلے چینی 1992 اولمپک چیمپئن سوئمر لین لی کو دیا گیا تھا۔,الماتی میں مشعل کو سب سے پہلے قازقستان کے صدر نور سلطان نزاربیف کو دیا گیا تھا۔,0.0,0.0,0.0,0.0,0.0,0.0,0.6299264430999756,0,0.014936192853457254,2.2869567780619007,0.14285714285714285,0.0,0.0,0.0,0.7170838713645935,0
اولمپیا ، یونان,اولمپک شعلہ اولمپیاء، یونان میں روشن کیا گیا۔,اولمپک شعلہ اولمپیا، یونان میں قدیم اولمپک کھیلوں کے مقام پر روشن کیا گیا تھا۔,0.028599617161713803,5.522397783539471,0.19230769230769235,0.0,0.0,0.0,0.7584376931190491,0,0.03868052697542155,5.255923420816887,0.5681818181818182,0.0,0.0,0.0,0.7347918748855591,0
ہم آہنگی کا سفر,ٹارچ ریلے کی تقریب کو رکاوٹوں کے درمیان منسوخ کر دیا گیا۔,یہ واضح طور پر تعداد کے وزن سے دن لینے کا ایک اچھی طرح سے مربوط منصوبہ ہے۔,0.0,0.0,0.0,0.0,0.0,0.0,0.6521193981170654,0,0.014238348381961592,2.1476912089159055,0.0925925925925926,0.0,0.0,0.0,0.6387658715248108,0
بیجنگ ، چین,مشعل ریلے کی تفصیلات میک کووی کوو اور پیرس سے معلوم کی گئیں۔,مشعل ریلے کی تفصیلات سان فرانسسکو، کیلیفورنیا میں 9 اپریل کو منعقدہ تقریب سے معلوم کی گئیں۔,0.0,0.0,0.0,0.0,0.0,0.0,0.6056150197982788,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5816916227340698,0
ماؤنٹ ایورسٹ,مشعل کو کسی پہاڑ پر نہیں لے جایا گیا۔,مشعل ماؤنٹ ایورسٹ کی چوٹی پر لے جایا گیا تھا۔,0.0,0.0,0.0,0.0,0.0,0.0,0.6578742861747742,0,0.056950849982219685,8.392229812593097,0.6696428571428572,0.0,0.0,0.0,0.7850932478904724,0
اولمپیا ، یونان,اولمپک مشعل اولمپیاء، یونان میں روشن کی گئی تھی۔,اولمپک مشعل یونان کے شہر اولمپیا میں روشن کی گئی تھی۔,0.02573285025273419,4.767707020457095,0.1851851851851852,0.0,0.0,0.0,0.7372452616691589,0,0.02568481047180467,4.456882760699063,0.3448275862068966,0.0,0.0,0.0,0.7252491116523743,0
985 گرام,اولمپک مشعل کا وزن 985 گرام ہوتا ہے۔,اولمپک مشعل کا وزن 985 گرام ہوتا ہے۔,0.07122722710132624,11.044795567078939,0.7211538461538463,1.0,0.0,1.0,0.7035588622093201,0,0.07122722710132624,11.044795567078939,0.7211538461538463,1.0,0.0,1.0,0.7035588622093201,0
پروپین,مشعل کے لیے پروپین کے کینوں کا استعمال کیا جاتا ہے۔,مشعل کے لیے پروپین کے کینوں سے ایندھن استعمال کیا جاتا ہے۔,0.021598265052211615,3.7477767366779213,0.25000000000000006,0.0,0.0,0.0,0.6419721841812134,0,0.020044994979069072,3.3864985683445354,0.2380952380952381,0.0,0.0,0.0,0.6302619576454163,0
قانونی,چینی لوگوں سے کہا گیا تھا کہ وہ اپنے محب وطن جوش و خروش کو پرسکون اور عقلی طور پر ظاہر کریں، اور محب وطن خواہش کو منظم اور قانونی انداز میں ظاہر کریں۔,چینی لوگوں سے کہا گیا تھا کہ وہ اپنے محب وطن جوش و خروش کو پرسکون اور عقلی طور پر ظاہر کریں، اور محب وطن خواہش کو منظم اور قانونی انداز میں ظاہر کریں۔,0.008377152169377823,1.0885011049519644,0.11627906976744189,0.0,0.0,0.0,0.6309961080551147,0,0.008377152169377823,1.0885011049519644,0.11627906976744189,0.0,0.0,0.0,0.6309961080551147,0
یوگور,تقریباً 10 مظاہرین کو پولیس نے حراست میں لیا۔,پانچ افراد کو گرفتار کیا گیا، بشمول ایک چینی طالب علم جسے مبینہ طور پر پتھر پھینکنے کے الزام میں گرفتار کیا گیا تھا۔,0.0,0.0,0.0,0.0,0.0,0.0,0.6567296385765076,0,0.0,0.0,0.0,0.0,0.0,0.0,0.601681113243103,0
31 مارچ,مشعل 31 مارچ کو بیجنگ پہنچی۔,اولمپک مشعل 31 مارچ کو بیجنگ پہنچی۔,0.09717716588732002,16.233395773754953,0.78125,1.0,0.0,1.0,0.613635778427124,0,0.081939171811711,13.134549472120788,0.75,1.0,0.0,1.0,0.610579788684845,0
چھ,بیجنگ کے بعد مشعل نے چھ براعظموں کا دورہ کیا۔,چھ براعظموں کا دورہ کیا۔,0.023457495174891017,4.196114906296549,0.2631578947368421,0.0,0.0,0.0,0.6926082372665405,0,0.0456496931223525,10.682175159905848,0.35714285714285715,0.0,0.0,0.0,0.7131029963493347,0
منازعہ,مظاہرین اور حامیوں کے مابین دو جھڑپیں رپورٹ کی گئیں۔,500 چینی حامیوں کے ایک گروپ اور تقریباً 50 مظاہرین کے درمیان لڑائی شروع ہوگئی۔,0.0,0.0,0.0,0.0,0.0,0.0,0.6484575271606445,0,0.0,0.0,0.0,0.0,0.0,0.0,0.6412650346755981,0
3 اپریل,3 اپریل کو۔,3 اپریل کو ٹارچ استنبول میں تھا۔,0.21177974141341938,55.03212081491043,0.8928571428571429,1.0,0.0,1.0,0.7963685989379883,0,0.081939171811711,13.134549472120788,0.75,1.0,0.0,1.0,0.7406609058380127,0
براعظموں,مشعل روٹ چھ براعظموں کا احاطہ کرتا ہے۔,مشعل روٹ چھ براعظموں سے گزرتا ہے اور سلک روڈ کے ساتھ شہروں کا دورہ کرتا ہے۔,0.028599617161713803,5.522397783539471,0.2941176470588236,0.0,0.0,0.0,0.7440529465675354,0,0.014936192853457254,2.2869567780619007,0.19230769230769232,0.0,0.0,0.0,0.7130647897720337,0
130,سیاق و سباق میں طیارے کے سفر کے دنوں کی تعداد کا ذکر نہیں ہے۔,130 دن کا سفر کیا۔,0.0,0.0,0.0,0.0,0.0,0.0,0.5175681710243225,0,0.0456496931223525,10.682175159905848,0.35714285714285715,1.0,0.0,1.0,0.6068611145019531,0
قازقستان کے صدر,نورسلطان نزاربیف قازقستان کے صدر تھے۔,نورسلطان نزاربیف قازقستان کے صدر تھے۔,0.23376641384792204,30.213753973567677,0.8922558922558923,0.0,0.0,0.0,0.7899109125137329,0,0.23376641384792204,30.213753973567677,0.8922558922558923,0.0,0.0,0.0,0.7899109125137329,0
آستانہ اسکوائر,میڈیو اسٹیڈیم سے آستانہ اسکوائر تک گیا۔,میڈیو اسٹیڈیم سے آستانہ اسکوائر تک گیا۔,0.081939171811711,13.134549472120788,0.75,0.0,0.0,0.0,0.7657778263092041,0,0.081939171811711,13.134549472120788,0.75,0.0,0.0,0.0,0.7657777070999146,0
حامیوں,سان فرانسسکو میں حامیوں کی تعداد مظاہرین کی تعداد سے زیادہ تھی۔,سان فرانسسکو میں حامیوں کی تعداد مظاہرین سے زیادہ تھی۔,0.020044994979069072,3.3864985683445354,0.2380952380952381,0.0,0.0,0.0,0.7493860125541687,0,0.023457495174891017,4.196114906296549,0.2631578947368421,0.0,0.0,0.0,0.761946439743042,0
سینکڑوں,سیاق و سباق میں احتجاج کرنے والے لوگوں کی تعداد کا ذکر نہیں ہے۔,سان فرانسسکو میں سینکڑوں لوگوں نے احتجاج کیا۔,0.0,0.0,0.0,0.0,0.0,0.0,0.6513485908508301,0,0.028599617161713803,5.522397783539471,0.2941176470588236,0.0,0.0,0.0,0.7234222292900085,0
چاندی,پہلے کھیلوں سے پہلے مشعل بردار کو کوئی تمغہ نہیں ملا۔,پہلے مشعل بردار کو چاندی کا تمغہ ملا۔,0.0,0.0,0.0,0.0,0.0,0.0,0.6740918755531311,0,0.028599617161713803,5.522397783539471,0.2941176470588236,0.0,0.0,0.0,0.7014699578285217,0
24 مارچ,اولمپک مشعل 24 مارچ 2008 کو روشن کی گئی تھی۔,2008 کے اولمپک مشعل 24 مارچ کو یونان کے شہر اولمپیا میں روشن کی گئی تھی۔,0.056950849982219685,8.392229812593097,0.6696428571428572,0.6666666666666666,0.0,0.6666666666666666,0.6412580609321594,0,0.036422694300114855,4.891187874480726,0.5514705882352943,0.6666666666666666,0.0,0.6666666666666666,0.5953942537307739,0
الومینیم,اولمپک مشعل ایلومینیم سے بنائی گئی ہے۔,اولمپک مشعل ایلومینیم سے بنائی جاتی ہے۔,0.0,0.0,0.0,0.0,0.0,0.0,0.7146981954574585,0,0.0,0.0,0.0,0.0,0.0,0.0,0.7204691767692566,0
31 مارچ,اولمپک مشعل چین میں اپنی منزل پر پہنچنے کی تاریخ سیاق و سباق میں موجود نہیں ہے۔,31 مارچ کو بیجنگ پہنچی۔,0.0,0.0,0.0,0.0,0.0,0.0,0.4848375916481018,0,0.12121093525642128,21.3643503198117,0.8152173913043478,1.0,0.0,1.0,0.6362154483795166,0
لکی کلاؤڈ,لکی کلاوڈ۔,لکی کلاؤڈ۔,0.06754436142034707,49.99999999999999,0.25,0.0,0.0,0.0,0.8641167879104614,0,0.2213885886251307,100.00000000000004,0.9375,0.0,0.0,0.0,0.9229533076286316,1
پیرالمپک کھیلوں,مشعل ریلے کا انعقاد تبت میں چین کے حالیہ کریک ڈاؤن کے خلاف احتجاج کرنے والے مظاہرین کی وجہ سے ہونے والی رکاوٹوں کے خدشے سے نہ کرنے کا فیصلہ کیا گیا تھا۔,مشعل ریلے کو عسکریت پسندوں کی دھمکیوں یا چین مخالف احتجاج کے باعث منسوخ کر دیا گیا تھا۔,0.0,0.0,0.0,0.0,0.0,0.0,0.6306765675544739,0,0.0,0.0,0.0,0.0,0.0,0.0,0.6500523090362549,0
لکی کلاؤڈ,"اولمپک مشعل پر استعمال ہونے والا چینی ڈیزائن ""لکی کلاوڈ"" ہے۔","اولمپک مشعل پر استعمال ہونے والا چینی ڈیزائن ""لکی کلاؤڈ"" ہے۔",0.0,3.0890553181566975,0.0,0.0,0.0,0.0,0.7394886612892151,0,0.0,3.0890553181566975,0.0,0.0,0.0,0.0,0.774315595626831,0
2,2 انچ فی گھنٹہ کی بارش کے تحت مشعل روشن رہ سکتی ہے۔,2 انچ فی گھنٹہ بارش کے تحت مشعل روشن رہ سکتی ہے۔,0.018724372764461875,3.0890553181566975,0.22727272727272732,1.0,0.0,1.0,0.5901437401771545,0,0.020044994979069072,3.3864985683445354,0.2380952380952381,1.0,0.0,1.0,0.5970949530601501,0
یوگوروں,ترکی میں رہنے والے ایغوروں نے سنکیانگ میں رہنے والے اپنے ہم وطنوں کے لئے احتجاج کیا۔,ترکی میں رہنے والے ایغوروں نے سنکیانگ میں رہنے والے اپنے ہم وطنوں کے ساتھ چینی سلوک پر احتجاج کیا۔,0.0,0.0,0.0,0.0,0.0,0.0,0.6683533787727356,0,0.0,0.0,0.0,0.0,0.0,0.0,0.6644816994667053,0
ایئر چائنا,سیاق و سباق میں ایئر لائن کا ذکر نہیں ہے۔,ایئر لائن کا نام ایئر چائنا تھا۔,0.023457495174891017,4.196114906296549,0.17857142857142858,0.0,0.0,0.0,0.7169150710105896,0,0.081939171811711,13.134549472120788,0.75,0.0,0.0,0.0,0.8347163200378418,0
ماریا نفپلیٹو,اولمپک مشعل کو 24 مارچ 2008 کو اولمپیاء، یونان میں روشن کیا گیا۔,اولمپک مشعل کو سب سے پہلے یونان کے الیگزینڈر نیکولائیڈس نے روشن کیا۔,0.0,0.0,0.0,0.0,0.0,0.0,0.6210259199142456,0,0.0,0.0,0.0,0.0,0.0,0.0,0.6379736065864563,0
الیکسینڈروس نکولائڈس,پہلا ٹارچ اٹھانے والا چینی 1992 اولمپک چیمپئن سوئمر لین لی تھا۔,پہلا مشعل بردار یونان کے الیگزینڈر نیکولائیڈس تھے۔,0.0,0.0,0.0,0.0,0.0,0.0,0.6060197353363037,0,0.0,0.0,0.0,0.0,0.0,0.0,0.686046838760376,0
عالمی ریلے,آئندہ اولمپکس میں عالمی ریلی کو ختم کرنے کی بات کی گئی۔,عالمی ریلے کو مستقبل کے ایڈیشنوں میں ختم کرنا۔,0.020044994979069072,3.3864985683445354,0.16666666666666669,0.0,0.0,0.0,0.7243900299072266,0,0.06321087140417253,9.535414040914192,0.6944444444444445,0.0,0.0,0.0,0.763096809387207,0
ماریا نفپلیٹو,سلف فوخرجی,لوو شوجوان,0.0,0.0,0.0,0.0,0.0,0.0,0.7435997724533081,0,0.0,0.0,0.0,0.0,0.0,0.0,0.7315899133682251,0
تکسیم اسکوائر,ترکی میں مشعل کا ریلے تقسیم اسکوائر میں ختم ہوا۔,ترکی میں مشعل کا ریلے تقسیم اسکوائر میں ختم ہوا۔,0.023457495174891017,4.196114906296549,0.17857142857142858,0.0,0.0,0.0,0.7432165741920471,0,0.023457495174891017,4.196114906296549,0.17857142857142858,0.0,0.0,0.0,0.7432165741920471,0
پیپلز ڈیلی,پیپلز ڈیلی,پیپلز ڈیلی,0.2213885886251307,100.00000000000004,0.9375,0.0,0.0,0.0,0.9999998211860657,1,0.2213885886251307,100.00000000000004,0.9375,0.0,0.0,0.0,0.9999998211860657,1
24 مارچ ، 2008,اولمپک شعلہ 24 مارچ 2008 کو روشن کیا گیا تھا۔,24 مارچ کو اولمپک شعلہ روشن کیا گیا تھا۔,0.12867201458772706,15.619699684601283,0.7957957957957957,1.0,1.0,1.0,0.6901825070381165,0,0.06321087140417253,9.535414040914192,0.5208333333333335,0.6666666666666666,0.0,0.6666666666666666,0.6562317609786987,0
سلطان احمد اسکوائر,ترکی میں مشعل کی ریلے کا آغاز میک کووی کوو میں ہوا۔,استنبول۔,0.0,0.0,0.0,0.0,0.0,0.0,0.6718745231628418,0,0.0,0.0,0.0,0.0,0.0,0.0,0.6848425269126892,0
کیرفور,فرانسیسی ہائپر مارٹ کیرفور کا بائیکاٹ کیا جا رہا تھا۔,فرانسیسی کمپنی کیریفور کا بائیکاٹ کیا جا رہا تھا۔,0.023457495174891017,4.196114906296549,0.2631578947368421,0.0,0.0,0.0,0.7285000085830688,0,0.0,0.0,0.0,0.0,0.0,0.0,0.7050174474716187,0
یوگور کارکنوں,الماتی میں چین مخالف مظاہرین کو گرفتار کیا گیا تھا۔,الماتی میں اویغور کارکنوں کو گرفتار کیا گیا تھا۔,0.0,0.0,0.0,0.0,0.0,0.0,0.7055636048316956,0,0.02573285025273419,4.767707020457095,0.1851851851851852,0.0,0.0,0.0,0.76902836561203,0
جیک روگ,"اس شخص کا نام سیباسچین کو نے مشعل ریلے کے احتجاج کو ""بحران"" کہا۔","سر اسٹیو ریڈگریو نے مشعل ریلے کے احتجاج کو ""مسئلہ"" کہا۔",0.0,0.0,0.0,0.0,0.0,0.0,0.6532161235809326,0,0.0,0.0,0.0,0.0,0.0,0.0,0.6745129227638245,0
ایک دنیا ، ایک خواب,"""ایک دنیا، ایک خواب""۔",مشق ریلے کے لئے کوئی خاص موضوع بیان نہیں کیا گیا۔,0.16821895003341453,50.81327481546149,0.46875,0.0,0.0,0.0,0.881767213344574,0,0.0,0.0,0.0,0.0,0.0,0.0,0.62869793176651,0
گرفتار,ریلی کو روکنے کی کوشش کرنے والے کئی مظاہرین کو پولیس نے فوری طور پر گرفتار کر لیا۔,مظاہرین نے مشعل کو چھیننے کی کوشش کی اور مشعل کے قریب آگ بجھانے والا آلہ لگایا گیا۔,0.014238348381961592,2.1476912089159055,0.1851851851851852,0.0,0.0,0.0,0.6651151776313782,0,0.0,0.0,0.0,0.0,0.0,0.0,0.6405816674232483,0
24 مارچ,اولمپک مشعل 24 مارچ 2008 کو روشن کی گئی تھی۔,اولمپک مشعل 24 مارچ کو روشن کی گئی تھی۔,0.056950849982219685,8.392229812593097,0.6696428571428572,0.6666666666666666,0.0,0.6666666666666666,0.6412580609321594,0,0.06321087140417253,9.535414040914192,0.6944444444444445,1.0,0.0,1.0,0.6326274275779724,0
