title,context,question,answer
2008_Summer_Olympics_torch_relay,"بین الاقوامی سطح پر ، مشعل اور اس کے ہمراہ پارٹی نے اولمپک کھیلوں کے سرخ اور پیلے رنگوں میں پینٹ کردہ چارٹرڈ ایئر چائنا ایئربس اے 330 (رجسٹرڈ بی 6075) میں سفر کیا۔ ایئر چائنا کو بیجنگ اولمپک گیم کمیٹیوں نے مارچ 2008 میں اولمپک مقصد میں طویل عرصے سے شرکت کے لئے نامزد اولمپک مشعل بردار کے طور پر منتخب کیا تھا۔ طیارے نے 21 ممالک اور خطوں کے ذریعے 130 دن کی مدت کے لئے مجموعی طور پر 137،000 کلومیٹر (85،000 میل) کا سفر کیا۔",یہ کب فیصلہ کیا گیا تھا کہ ایئر چائنا سرکاری مشعل بردار ہوگا؟,مارچ 2008
2008_Summer_Olympics_torch_relay,"قازقستان: الماٹی میں پہلا مشعل بردار ، جہاں 2 اپریل کو اولمپک مشعل پہلی بار پہنچی تھی ، قازقستان کے صدر نور سلطان نزاربیف تھے۔ یہ راستہ میڈیو اسٹیڈیم سے آستانہ اسکوائر تک 20 کلومیٹر کا تھا۔ ایسی اطلاعات تھیں کہ اویغور کارکنوں کو گرفتار کیا گیا تھا اور کچھ کو چین واپس بھیج دیا گیا تھا۔",2 اپریل کو مشعل نے کس کنواری سائٹ کا دورہ کیا؟,الماٹی
2008_Summer_Olympics_torch_relay,"اس راستے نے مارچ 2008 سے مئی 2008 سے اگست 2008 تک چھ براعظموں کے ذریعے مشعل کو لے لیا۔ منصوبہ بند راستے میں اصل میں ہو چی منہ شہر اور ہانگ کانگ کے مابین تائی پے میں ایک اسٹاپ شامل تھا ، لیکن بیجنگ اور تائی پے میں اس بات پر اختلاف تھا کہ آیا یہ راستے کا بین الاقوامی یا گھریلو حصہ تھا یا نہیں۔ جبکہ چین اور چینی تائی پے کی اولمپک کمیٹیوں نے اس نقطہ نظر پر ابتدائی اتفاق رائے حاصل کیا ، تائیوان میں جمہوریہ چین کی حکومت نے مداخلت کرتے ہوئے کہا کہ اس جگہ کو تائیوان کو ہانگ کانگ اور مکاؤ کی طرح ایک ہی سطح پر رکھنے کے طور پر سمجھا جاسکتا ہے ، جس پر اس نے اعتراض کیا۔ بیجنگ آرگنائزنگ کمیٹی نے مذاکرات جاری رکھنے کی کوشش کی ، لیکن تائیوان میں 24 کلومیٹر مشعل کے راستے پر جمہوریہ چین کے جھنڈے یا ترانے پر مزید تنازعات پیدا ہوئے۔ 21 ستمبر ، 2007 کو مذاکرات کے اختتام کے لئے آدھی رات کی آخری تاریخ تک ، تائیوان اور چین مشعل ریلے کے مسئلے پر سمجھوتہ کرنے سے قاصر تھے۔ آخر میں ، تائیوان آبنائے کے دونوں اطراف نے تائی پے ٹانگ کو ختم کرنے کا فیصلہ کیا۔",مشعل نے کتنے براعظموں کا دورہ کیا؟,چھ
2008_Summer_Olympics_torch_relay,"چین: چین میں ، مشعل کا سب سے پہلے پولیٹ بیورو اسٹینڈنگ کمیٹی کے ممبر زو یونگ کانگ اور اسٹیٹ کونسلر لیو یانڈونگ نے خیرمقدم کیا تھا۔ اس کے بعد اسے سی پی سی کے سیکرٹری جنرل ہو جنٹاؤ کو منتقل کیا گیا تھا۔ 1 مئی سے فرانسیسی ہائپر مارٹ کیریفور کا بائیکاٹ کرنے کا مطالبہ 12 اپریل سے ہفتے کے آخر میں چینیوں میں موبائل ٹیکسٹ میسجنگ اور آن لائن چیٹ رومز کے ذریعے پھیلنا شروع ہوا ، جس میں کمپنی کے بڑے شیئر ہولڈر ، ایل وی ایم ایچ گروپ پر دلا لاما کو فنڈز عطیہ کرنے کا الزام لگایا گیا۔ فرانسیسی عیش و آرام کی اشیاء اور کاسمیٹک مصنوعات کو شامل کرنے کے لئے بائیکاٹ کو بڑھانے کے بھی مطالبات تھے۔ 15 اپریل کو واشنگٹن ٹائمز کے مطابق ، تاہم ، چینی حکومت سنسرشپ کے ذریعے صورتحال کو پرسکون کرنے کی کوشش کر رہی تھی۔ کارفور کے بائیکاٹ سے متعلق مقبول انٹرنیٹ فورم سوہو ڈاٹ کام پر پوسٹ کردہ تمام تبصرے حذف کردیئے گئے ہیں۔ چینی مظاہرین نے کنمنگ ، ہیفی اور ووہان سمیت چین کے بڑے شہروں میں فرانسیسی ملکیت والے خوردہ چین کارفور کے بائیکاٹ کا اہتمام کیا ، فرانسیسی قوم پر علیحدگی پسند سازش اور چینی مخالف نسل پرستی کا الزام لگایا۔ کچھ نے فرانسیسی جھنڈے جلائے ، کچھ نے فرانسیسی جھنڈے میں نازیزم کا سواسٹیکا شامل کیا ، اور فرانسیسی قونصل خانوں اور سفارت خانے کے سامنے بڑے احتجاج کا مطالبہ کرتے ہوئے مختصر آن لائن پیغامات پھیلائے۔ کارفور بائیکاٹ کے خلاف مظاہرین نے کنمنگ میں کارفور اسٹورز میں سے ایک میں داخل ہونے پر مظاہرہ کیا ، صرف چینی بائیکاٹ کرنے والوں نے بڑے جھنڈے اور پانی کی بوتلوں سے روک دیا۔ بی بی سی نے بتایا کہ بیجنگ ، ووہان ، چنگداؤ میں سینکڑوں لوگوں نے اس پر اصرار کیا۔",کہاں مخالف مظاہرین چینی جھنڈوں کے ساتھ ایک Carrefour کی دکان میں داخل ہونے سے روک دیا گیا تھا؟,کنمنگ
2008_Summer_Olympics_torch_relay,"مظاہروں کے جواب میں ، پیپلز ڈیلی میں ایک ادارتی نے چینی لوگوں پر زور دیا کہ وہ [اپنے] محب وطن جوش و خروش کو پرسکون اور عقلی طور پر ظاہر کریں ، اور محب وطن خواہش کو منظم اور قانونی انداز میں ظاہر کریں۔",کس اشاعت میں چینی لوگوں سے مطالبہ کیا گیا تھا کہ وہ احتجاج اور مظاہروں کی وجہ سے منظم اور قانونی ہوں؟,پیپلز ڈیلی
2008_Summer_Olympics_torch_relay,"24 مارچ کو اولمپیا ، یونان میں اولمپک کھیلوں کی جائے پیدائش پر روشن ہونے کے بعد ، مشعل نے ایتھنز کے پاناتینایکو اسٹیڈیم کا سفر کیا ، اور پھر بیجنگ پہنچ کر 31 مارچ کو پہنچا۔ بیجنگ سے ، مشعل چھ براعظموں سے گزرنے والے راستے پر چل رہی تھی۔ مشعل نے سلک روڈ کے ساتھ شہروں کا دورہ کیا ، جو چین اور باقی دنیا کے مابین قدیم روابط کی علامت ہے۔ ریلے میں نیپال اور تبت ، چین کی سرحد پر ماؤنٹ ایورسٹ کی چوٹی پر شعلہ کے ساتھ چڑھنا بھی شامل تھا ، جو خاص طور پر اس ایونٹ کے لئے بند تھا۔",اولمپکس کی ابتدا کہاں سے ہوئی؟,"اولمپیا ، یونان"
2008_Summer_Olympics_torch_relay,"شمالی امریکہ اور یورپی راستے کے ساتھ ساتھ بہت سے شہروں میں ، تبت کی آزادی ، جانوروں کے حقوق ، اور قانونی آن لائن جوئے کے حامیوں اور چین کے انسانی حقوق کے ریکارڈ کے خلاف احتجاج کرنے والے لوگوں نے مشعل ریلے کا احتجاج کیا ، جس کے نتیجے میں ریلے کے کچھ مقامات پر تصادم ہوا۔ ان احتجاجوں میں ، جو سان فرانسسکو میں سینکڑوں لوگوں سے لے کر پیانگ یانگ میں مؤثر طریقے سے کوئی نہیں تھا ، مشعل ریلے کے راستے کو متعدد مواقع پر تبدیل یا مختصر کرنے پر مجبور کیا۔ چینی سیکیورٹی عہدیداروں نے پیرس کے حصے کے دوران کئی بار سیکیورٹی وجوہات کی بناء پر اور ایک بار پیرس میں احتجاج میں مشعل کو بجھا دیا۔",حفاظت کے لیے راستے میں مشعل کس نے بجھا دی؟,چینی سیکیورٹی عہدیداروں
2008_Summer_Olympics_torch_relay,"اس راستے نے مارچ 2008 سے مئی 2008 سے اگست 2008 تک چھ براعظموں کے ذریعے مشعل کو لے لیا۔ منصوبہ بند راستے میں اصل میں ہو چی منہ شہر اور ہانگ کانگ کے مابین تائی پے میں ایک اسٹاپ شامل تھا ، لیکن بیجنگ اور تائی پے میں اس بات پر اختلاف تھا کہ آیا یہ راستے کا بین الاقوامی یا گھریلو حصہ تھا یا نہیں۔ جبکہ چین اور چینی تائی پے کی اولمپک کمیٹیوں نے اس نقطہ نظر پر ابتدائی اتفاق رائے حاصل کیا ، تائیوان میں جمہوریہ چین کی حکومت نے مداخلت کرتے ہوئے کہا کہ اس جگہ کو تائیوان کو ہانگ کانگ اور مکاؤ کی طرح ایک ہی سطح پر رکھنے کے طور پر سمجھا جاسکتا ہے ، جس پر اس نے اعتراض کیا۔ بیجنگ آرگنائزنگ کمیٹی نے مذاکرات جاری رکھنے کی کوشش کی ، لیکن تائیوان میں 24 کلومیٹر مشعل کے راستے پر جمہوریہ چین کے جھنڈے یا ترانے پر مزید تنازعات پیدا ہوئے۔ 21 ستمبر ، 2007 کو مذاکرات کے اختتام کے لئے آدھی رات کی آخری تاریخ تک ، تائیوان اور چین مشعل ریلے کے مسئلے پر سمجھوتہ کرنے سے قاصر تھے۔ آخر میں ، تائیوان آبنائے کے دونوں اطراف نے تائی پے ٹانگ کو ختم کرنے کا فیصلہ کیا۔",جمہوریہ چین کا خیال تھا کہ غلط فیصلہ تائیوان کو کس دو علاقوں کے ساتھ ایک ہی سطح پر رکھ سکتا ہے۔,ہانگ کانگ اور مکاؤ
2008_Summer_Olympics_torch_relay,"لندن اور پیرس میں مشعل پر حملوں کو چینی حکومت نے قابل نفرت قرار دیا ، ان کی مذمت کرتے ہوئے ان کو جان بوجھ کر رکاوٹیں قرار دیا۔ جنہوں نے اولمپک روح یا برطانیہ اور فرانس کے قوانین پر کوئی غور نہیں کیا اور جنہوں نے اولمپک روح کو داغدار کیا ، اور عہد کیا کہ وہ ریلے کے ساتھ جاری رکھیں گے اور احتجاج کو اولمپک روح میں رکاوٹ نہیں بننے دیں گے۔ بیرون ملک مقیم چینی اور بیرون ملک مقیم چینی شہریوں کے بڑے پیمانے پر احتجاجی مظاہرے ریلے کے بعد کے حصوں میں عام ہوگئے۔ سان فرانسسکو میں ، حامیوں کی تعداد مظاہرین کی تعداد سے بہت زیادہ تھی ، اور آسٹریلیا ، جاپان ، جنوبی کوریا میں ، مقابلہ مظاہرین نے مظاہرین کو مغلوب کردیا۔ مظاہرین اور حامیوں کے مابین دو جھڑپیں رپورٹ کی گئیں۔ لاطینی امریکہ ، افریقہ اور مغربی ایشیاء ریلے کی ٹانگوں میں کوئی بڑا احتجاج نظر نہیں آیا۔",جاپان میں مظاہرین کو کس نے دبایا؟,مقابلہ مظاہرین
2008_Summer_Olympics_torch_relay,"شمالی امریکہ اور یورپی راستے کے ساتھ ساتھ بہت سے شہروں میں ، تبتی آزادی ، جانوروں کے حقوق ، اور قانونی آن لائن جوئے کے حامیوں اور چین کے انسانی حقوق کے ریکارڈ کے خلاف احتجاج کرنے والے لوگوں نے مشعل ریلے کا احتجاج کیا ، جس کے نتیجے میں ریلے کے کچھ مقامات پر تصادم ہوا۔ یہ احتجاج ، جو سان فرانسسکو میں سینکڑوں لوگوں سے لے کر پیانگ یانگ میں موثر طور پر کوئی نہیں تک تھا ، نے متعدد مواقع پر مشعل ریلے کا راستہ تبدیل کرنے یا مختصر کرنے پر مجبور کیا۔ چینی سیکیورٹی عہدیداروں نے سیکیورٹی وجوہات کی بناء پر پیرس کے حصے کے دوران کئی بار مشعل کو بجھا دیا ، اور ایک بار پیرس میں احتجاج کیا۔",پیانگ یانگ مشعل کے راستے پر کتنے لوگوں نے احتجاج کیا؟,موثر طور پر کوئی نہیں
2008_Summer_Olympics_torch_relay,"لندن اور پیرس میں مشعل پر حملوں کو چینی حکومت نے قابل نفرت قرار دیا ، ان کی مذمت کرتے ہوئے ان کو جان بوجھ کر رکاوٹیں قرار دیا۔ جنہوں نے اولمپک روح یا برطانیہ اور فرانس کے قوانین پر کوئی غور نہیں کیا اور جنہوں نے اولمپک روح کو داغدار کیا ، اور عہد کیا کہ وہ ریلے کے ساتھ جاری رکھیں گے اور احتجاج کو اولمپک روح میں رکاوٹ نہیں بننے دیں گے۔ بیرون ملک مقیم چینی اور بیرون ملک مقیم چینی شہریوں کے بڑے پیمانے پر احتجاجی مظاہرے ریلے کے بعد کے حصوں میں عام ہوگئے۔ سان فرانسسکو میں ، حامیوں کی تعداد مظاہرین کی تعداد سے بہت زیادہ تھی ، اور آسٹریلیا ، جاپان ، جنوبی کوریا میں ، مقابلہ مظاہرین نے مظاہرین کو مغلوب کردیا۔ مظاہرین اور حامیوں کے مابین دو جھڑپیں رپورٹ کی گئیں۔ لاطینی امریکہ ، افریقہ اور مغربی ایشیاء ریلے کی ٹانگوں میں کوئی بڑا احتجاج نظر نہیں آیا۔",جنہوں نے مظاہرین کے خلاف بڑے پیمانے پر جمع کیا؟,مقابلہ مظاہرین
2008_Summer_Olympics_torch_relay,"چین: چین میں ، مشعل کا سب سے پہلے پولیٹ بیورو اسٹینڈنگ کمیٹی کے ممبر زو یونگ کانگ اور اسٹیٹ کونسلر لیو یانڈونگ نے خیرمقدم کیا تھا۔ اس کے بعد اسے سی پی سی کے سیکرٹری جنرل ہو جنٹاؤ کو منتقل کیا گیا تھا۔ 1 مئی سے فرانسیسی ہائپر مارٹ کیریفور کا بائیکاٹ کرنے کا مطالبہ 12 اپریل سے ہفتے کے آخر میں چینیوں کے مابین موبائل ٹیکسٹ میسجنگ اور آن لائن چیٹ رومز کے ذریعے پھیلنا شروع ہوا ، جس میں کمپنی کے بڑے حصص یافتگان ، ایل وی ایم ایچ گروپ پر دلا لاما کو فنڈز عطیہ کرنے کا الزام لگایا گیا۔ فرانسیسی عیش و آرام کی اشیاء اور کاسمیٹک مصنوعات کو شامل کرنے کے لئے بائیکاٹ کو بڑھانے کے بھی مطالبات تھے۔ 15 اپریل کو واشنگٹن ٹائمز کے مطابق ، تاہم ، چینی حکومت سنسرشپ کے ذریعے صورتحال کو پرسکون کرنے کی کوشش کر رہی تھی۔ کارفور کے بائیکاٹ سے متعلق مقبول انٹرنیٹ فورم سوہو ڈاٹ کام پر پوسٹ کردہ تمام تبصرے حذف کردیئے گئے ہیں۔ چینی مظاہرین نے کنمنگ ، ہیفی اور ووہان سمیت چین کے بڑے شہروں میں فرانسیسی ملکیت والے خوردہ چین کارفور کے بائیکاٹ کا اہتمام کیا ، فرانسیسی قوم پر علیحدگی پسند سازش اور چینی مخالف نسل پرستی کا الزام لگایا۔ کچھ نے فرانسیسی جھنڈے جلائے ، کچھ نے فرانسیسی جھنڈے میں نازیزم کا سوستیکا شامل کیا ، اور فرانسیسی قونصل خانوں اور سفارت خانے کے سامنے بڑے احتجاج کا مطالبہ کرتے ہوئے مختصر آن لائن پیغامات پھیلائے۔ کارفور بائیکاٹ کو بائیکاٹ مخالف مظاہرین سے ملاقات کی گئی جنہوں نے کنمنگ میں کارفور اسٹورز میں سے ایک میں داخل ہونے پر مظاہرہ کیا ، صرف چینی بائیکاٹروں نے بڑے جھنڈے اور پانی کی بوتلیں چلائیں۔ بی بی سی نے بتایا کہ بیجنگ ، ووہان ، چنگداؤ میں سینکڑوں لوگوں نے اس پر اصرار کیا۔",Carrefour کا سب سے بڑا حصص دار کون تھا؟,ایل وی ایم ایچ گروپ
