query,ground_truth_answer,traditional_faithfulness,traditional_answer_relevancy,traditional_context_recall,traditional_context_precision,traditional_entity_recall,modified_faithfulness,modified_answer_relevancy,modified_context_recall,modified_context_precision,modified_entity_recall
جمہوریہ چین کا خیال تھا کہ غلط فیصلہ تائیوان کو کس دو علاقوں کے ساتھ ایک ہی سطح پر رکھ سکتا ہے۔,ہانگ کانگ اور مکاؤ,0.591821551322937,0.6102303266525269,0.0,0.0,0.0,0.5943585634231567,0.9283177852630615,0.0,0.0,0.0
جاپان میں مظاہرین کو کس نے دبایا؟,مقابلہ مظاہرین,0.7301281690597534,0.7955485582351685,0.0,0.0,0.0,0.6186351776123047,0.5027042031288147,0.0,0.0,0.0
پیانگ یانگ مشعل کے راستے پر کتنے لوگوں نے احتجاج کیا؟,موثر طور پر کوئی نہیں,0.6823499798774719,0.8343449831008911,0.0,0.0,0.0,0.6655732989311218,0.7336101531982422,0.0,0.0,0.0
جنہوں نے مظاہرین کے خلاف بڑے پیمانے پر جمع کیا؟,مقابلہ مظاہرین,0.8324750661849976,0.7186968326568604,0.0,0.0,0.0,0.6661152243614197,0.6155081391334534,0.0,0.0,0.0
Carrefour کا سب سے بڑا حصص دار کون تھا؟,ایل وی ایم ایچ گروپ,-0.01320154033601284,0.7822138071060181,0.0,0.0,0.0,0.19808122515678406,0.540900468826294,0.0,0.0,0.0
کیا ہوا کی رفتار مشعل شعلہ اب بھی میل فی گھنٹہ میں روشن رہے گا؟,37,0.486776739358902,0.7866073846817017,0.0,0.0,0.0,0.8100408911705017,0.7270627021789551,0.0,0.0,0.0
مشعل کس دھات سے بنائی گئی ہے؟,الومینیم,0.6892520189285278,0.7536447048187256,0.0,0.0,0.0,0.46356311440467834,0.7536447048187256,1.0,1.0,0.0
ہوائی جہاز کو کس رنگ سے پینٹ کیا گیا تھا؟,سرخ اور پیلے,0.5824911594390869,0.7594192028045654,0.0,0.0,0.0,0.25601890683174133,0.49787601828575134,0.0,0.0,0.0
اولمپک مشعل کی شعلہ روشن کرنے کے لیے کیا استعمال کیا جاتا ہے؟,ایک اگنیشن کلید,0.734453022480011,0.9340823888778687,0.0,0.0,0.0,0.48572224378585815,0.601445198059082,0.0,0.0,0.0
اصل اولمپک مقابلوں کا مقام کہاں ہے؟,اولمپیا ، یونان,0.39951300621032715,0.5852324962615967,0.0,0.0,0.0,0.6217226982116699,0.7691917419433594,0.0,0.0,0.0
طیارے نے کتنے دن سفر کیا؟,130 دن,0.43618810176849365,0.7186182737350464,0.0,0.0,0.0,0.5912595987319946,0.7631736993789673,0.0,0.0,0.0
ہو چی منہ سٹی اور ہانگ کانگ کے درمیان کیا اسٹاپ ہونا تھا؟,تائی پے,0.5436769127845764,0.9111788272857666,0.0,0.0,0.0,0.4945009648799896,0.7826076149940491,0.0,0.0,0.0
چارٹرڈ طیارہ کس رنگ کا تھا؟,سرخ اور پیلے,0.4237326383590698,0.7167731523513794,0.0,0.0,0.0,0.4339812099933624,0.6928591132164001,0.0,0.0,0.0
کس کمپنی کا بائیکاٹ کرنے کے لیے کارروائی کی گئی؟,کیرفور,0.3325553834438324,0.5686978101730347,0.0,0.0,0.0,0.46763473749160767,0.6577411890029907,0.0,0.0,1.0
کس جگہ پر پولیس کو مظاہرین کے ساتھ پرتشدد مسائل کا سامنا کرنا پڑا؟,نیپال,0.5876511335372925,0.7176263332366943,0.0,0.0,0.0,0.33976662158966064,0.5152231454849243,0.0,0.0,0.0
الماتی میں مشعل کو سب سے پہلے کس کو دیا گیا تھا؟,نورسلطان نزاربیف,0.5708839893341064,0.5008488297462463,0.0,0.0,0.0,0.4951696991920471,0.31364870071411133,0.0,0.0,0.0
اولمپک شعلہ کہاں روشن کیا گیا؟,اولمپیا ، یونان,0.5425537824630737,0.8975316286087036,0.0,0.0,0.0,0.8127163648605347,0.8693064451217651,0.0,0.0,0.0
ٹارچ ریلے کو منتظمین نے کیا کہا تھا؟,ہم آہنگی کا سفر,0.4517432153224945,0.6590076684951782,0.0,0.0,0.0,0.38411080837249756,0.595901370048523,0.0,0.0,0.0
مشعل ریلے کی تفصیلات کہاں سے معلوم کی گئیں؟,بیجنگ ، چین,0.5969991683959961,0.6617103219032288,0.0,0.0,0.0,0.4597941040992737,0.46976348757743835,0.0,0.0,0.0
مشعل کس پہاڑ پر لے جایا گیا تھا؟,ماؤنٹ ایورسٹ,0.3677659034729004,0.7029836177825928,0.0,0.0,0.0,0.42381781339645386,0.660915732383728,0.5,1.0,0.0
اولمپک مشعل کہاں روشن کی گئی تھی؟,اولمپیا ، یونان,0.7608851194381714,0.8300687074661255,0.0,0.0,0.0,0.5137968063354492,0.754635214805603,0.0,0.0,0.0
اولمپک مشعل کا وزن کتنا ہوتا ہے؟,985 گرام,0.6903946399688721,0.8564480543136597,0.0,0.0,0.0,0.3211894631385803,0.47177615761756897,0.0,0.0,0.0
مشعل کے لیے کس ایندھن کا استعمال کیا جاتا ہے؟,پروپین,0.6417907476425171,0.9319767951965332,0.0,0.0,0.0,0.7114466428756714,0.6960800886154175,0.0,0.0,0.0
چینی لوگوں سے کہا گیا تھا کہ وہ وطن پرستی کو منظم طریقے سے ظاہر کریں اور کس طریقے سے؟,قانونی,0.6069983839988708,0.822075605392456,0.0,0.0,0.0,0.5371202826499939,0.802010178565979,0.0,0.0,0.0
کون سے کارکنوں کو گرفتار کیا گیا ہے؟,یوگور,0.1943817436695099,0.4633644223213196,0.0,0.0,0.0,0.3477303087711334,0.6736627817153931,0.0,0.0,0.0
اولمپک مشعل بیجنگ کب پہنچی؟,31 مارچ,0.5212950110435486,0.6772799491882324,0.0,0.0,0.0,0.6501545310020447,0.8331895470619202,0.0,0.0,0.0
بیجنگ کے بعد مشعل نے کتنے براعظموں کا دورہ کیا؟,چھ,0.46496424078941345,0.6965467929840088,0.0,0.0,0.0,0.23162810504436493,0.41293442249298096,0.0,0.0,0.0
کچھ حامیوں اور مظاہرین کے درمیان کیا ہوا تھا؟,منازعہ,0.6395539045333862,0.8163150548934937,0.0,0.0,0.0,0.4076111316680908,0.5753046274185181,0.0,0.0,1.0
ٹارچ استنبول میں کب تھا؟,3 اپریل,0.553917407989502,0.7247118949890137,0.0,0.0,0.0,0.4172990918159485,0.7286852598190308,0.0,0.0,0.0
مشعل روٹ چھ کیا احاطہ کرتا ہے؟,براعظموں,0.7240850925445557,0.5083854794502258,0.0,0.0,0.0,0.6846973896026611,0.5529975891113281,0.0,0.0,0.0
ٹارچ ٹیم کے ساتھ طیارے نے کتنے دن سفر کیا؟,130,0.43618810176849365,0.653780996799469,0.0,0.0,0.0,0.6825131177902222,0.6902822256088257,0.0,0.0,0.0
نورسلطان نزاربیف کون ہے؟,قازقستان کے صدر,0.5248306393623352,0.4377901554107666,0.0,0.0,0.0,0.5248306393623352,0.4377901554107666,0.0,0.0,0.0
الماتی میں روٹ میڈیو اسٹیڈیم سے کہاں گیا؟,آستانہ اسکوائر,0.17228728532791138,0.4429579973220825,0.0,0.0,0.0,0.1601000428199768,0.31849485635757446,0.0,0.0,0.0
سان فرانسسکو میں، مظاہرین سے زیادہ کس کی موجودگی تھی؟,حامیوں,0.7938045263290405,0.9076229333877563,0.0,0.0,0.0,0.6898112297058105,0.6678146123886108,0.0,0.0,0.0
سان فرانسسکو مشعل روٹ پر کتنے لوگوں نے احتجاج کیا؟,سینکڑوں,0.6441232562065125,0.8710453510284424,0.0,0.0,0.0,0.4641039967536926,0.6232662200927734,0.0,0.0,0.0
پہلے کھیلوں سے پہلے مشعل بردار کو کیا تمغہ ملا؟,چاندی,0.41782164573669434,0.6291675567626953,0.0,0.0,0.0,0.3540906608104706,0.7091169357299805,0.0,0.0,0.0
2008 کے کھیلوں کے لئے اولمپک مشعل کس دن روشن کی گئی تھی؟,24 مارچ,0.43548184633255005,0.6597747206687927,0.0,0.0,0.0,0.5162554979324341,0.6597747206687927,0.0,0.0,0.0
اولمپک مشعل کس چیز سے بنائی جاتی ہے؟,الومینیم,0.7371106147766113,0.9003215432167053,0.0,0.0,0.0,0.5770854949951172,0.8990928530693054,0.0,0.0,0.0
اولمپک مشعل کس تاریخ میں چین میں اپنی منزل پر پہنچی؟,31 مارچ,0.6680281162261963,0.7633191347122192,0.0,0.0,0.0,0.5420898199081421,0.8335199952125549,0.0,0.0,0.0
چینی اولمپک مشعل کا ڈیزائن نام کیا تھا؟,لکی کلاؤڈ,0.7286839485168457,0.9015440940856934,0.0,0.0,0.0,0.25692495703697205,0.41406068205833435,0.0,0.0,0.0
کن واقعات کے لئے مشعل ریلے کا انعقاد نہ کرنے کا فیصلہ کیا گیا تھا؟,پیرالمپک کھیلوں,0.606565535068512,0.2239004373550415,0.0,0.0,0.0,0.30135419964790344,0.4233682155609131,0.0,0.0,0.0
اولمپک مشعل پر استعمال ہونے والا چینی ڈیزائن کیا ہے؟,لکی کلاؤڈ,0.701347827911377,0.9249866008758545,0.0,0.0,0.0,0.35868290066719055,0.397580087184906,0.0,0.0,0.0
فی گھنٹہ انچ میں کتنی بارش کے تحت مشعل روشن رہ سکتی ہے؟,2,0.5322164297103882,0.7775720357894897,0.0,0.0,0.0,0.7006670236587524,0.5530085563659668,0.0,0.0,0.0
ترکی میں کون سے لوگوں نے چین میں رہنے والے اپنے لوگوں کے لئے احتجاج کیا؟,یوگوروں,0.6427275538444519,0.6605404615402222,0.0,0.0,0.0,0.521798849105835,0.6737699508666992,0.0,0.0,0.0
اس ایئر لائن کا نام کیا تھا جس نے اولمپک مشعل کو منتقل کیا تھا؟,ایئر چائنا,0.4183614253997803,0.5898714065551758,0.0,0.0,0.0,0.03585983067750931,0.3985123038291931,0.0,0.0,0.0
اولمپک مشعل کو سب سے پہلے کس نے روشن کیا؟,ماریا نفپلیٹو,0.792917013168335,0.8240410089492798,0.0,0.0,0.0,0.5252466201782227,0.7369663119316101,0.0,0.0,0.0
ٹارچ اٹھانے والا پہلا شخص کون تھا؟,الیکسینڈروس نکولائڈس,0.4959407448768616,0.6821115016937256,0.0,0.0,0.0,0.30804067850112915,0.7900567650794983,0.0,0.0,0.0
ریلے کے مسائل کی وجہ سے، آئی او سی نے فیصلہ کیا کہ آئندہ اولمپکس میں مزید کیا نہیں ہوگا؟,عالمی ریلے,0.7067424654960632,0.8156652450561523,0.0,0.0,0.0,0.3942909240722656,0.5618376731872559,0.0,0.0,0.0
اس عورت کا نام کیا ہے جس نے نئی کھیلوں کے لئے مشعل روشن کی؟,ماریا نفپلیٹو,0.6065233945846558,0.5445652604103088,0.0,0.0,0.0,0.4562682509422302,0.44587454199790955,0.0,0.0,0.0
ترکی میں مشعل کا ریلے کہاں ختم ہوا؟,تکسیم اسکوائر,0.8362253904342651,0.683014988899231,0.0,0.0,0.0,0.7661260962486267,0.5022698640823364,0.0,0.0,0.0
اس اشاعت کا نام کیا ہے جس میں چینی لوگوں کو مشورہ دیا گیا تھا کہ وہ حب الوطنی کے بارے میں پرسکون اور عقلی ہوں؟,پیپلز ڈیلی,0.5673932433128357,0.918028712272644,0.0,0.0,0.0,0.5608358383178711,0.8444254398345947,0.0,0.0,0.0
اولمپک شعلہ کس تاریخ کو روشن کیا گیا تھا؟,24 مارچ ، 2008,0.489571213722229,0.6935248374938965,0.0,0.0,0.0,0.6978565454483032,0.8011531829833984,0.0,0.0,0.0
اس شہر کا نام کیا ہے جہاں ترکی میں مشعل کی ریلے کا آغاز ہوا؟,سلطان احمد اسکوائر,0.5383280515670776,0.6286723017692566,0.0,0.0,0.0,0.3317815661430359,0.306620329618454,0.0,0.0,0.0
کس فرانسیسی کمپنی کا بائیکاٹ کیا جا رہا تھا؟,کیرفور,0.5423499345779419,0.7140133380889893,0.0,0.0,0.0,0.5983263254165649,0.5691003203392029,0.0,0.0,0.0
الماتی میں کس طرح کے کارکنوں کو گرفتار کیا گیا تھا؟,یوگور کارکنوں,0.44271475076675415,0.7489572167396545,0.0,0.0,0.0,0.31382131576538086,0.5127322673797607,0.0,0.0,0.0
"اس شخص کا نام کیا ہے جس نے مشعل ریلے کے احتجاج کو ""بحران"" کہا؟",جیک روگ,0.5604075789451599,0.8216100931167603,0.0,0.0,0.0,0.340833842754364,0.5960025787353516,0.0,0.0,0.0
مشعل ریلے کے لئے موضوع کیا تھا؟,ایک دنیا ، ایک خواب,0.2855921983718872,0.4313478469848633,0.0,0.0,0.0,0.7358024716377258,0.6115491390228271,0.0,0.0,0.0
مظاہرین کے ساتھ کیا ہوا جنہوں نے مشعل لے جانے میں مداخلت کرنے کی کوشش کی؟,گرفتار,0.7288566827774048,0.664472758769989,0.0,0.0,0.0,0.5629590749740601,0.4305747151374817,0.0,0.0,0.0
اولمپک مشعل کس تاریخ کو روشن کی گئی تھی؟,24 مارچ,0.6693170070648193,0.7846357822418213,0.0,0.0,0.0,0.5544688105583191,0.6521504521369934,0.0,0.0,0.0
استنبول میں مشعل کہاں سے شروع ہوئی؟,سلطان احمد اسکوائر,0.7366675734519958,0.6319436430931091,0.0,0.0,0.0,0.1857495903968811,0.6319436430931091,0.0,0.0,0.0
مستقبل کے اولمپکس کے لئے مشعل ریلے کے ساتھ کیا روک دیا گیا تھا؟,عالمی ریلے,0.478604257106781,0.735238790512085,0.0,0.0,0.0,0.49182283878326416,0.5100782513618469,0.0,0.0,0.0
چین اور دنیا کے مابین تاریخی روابط کی علامت کے طور پر مشعل کس سڑک پر تھی؟,سیلک روڈ,0.630429208278656,0.5221107602119446,0.0,0.0,0.0,0.44685500860214233,0.5221107602119446,0.0,0.0,0.0
کچھ گروہ مشعل کے راستے پر کیا کر رہے تھے جو اولمپکس کی حمایت نہیں کر رہے تھے؟,احتجاج,0.5938102006912231,0.7173042893409729,0.0,0.0,0.0,0.7612817883491516,0.5155699253082275,0.0,0.0,0.0
جنھوں نے سنکیانگ میں اپنے ہم وطنوں کے لئے احتجاج کیا؟,ترکی میں رہنے والے ایغوروں,0.5963822603225708,0.6606458425521851,0.0,0.0,0.0,0.6031920909881592,0.6792587041854858,0.0,0.0,0.0
مظاہرین نے کب تبت کو آزاد کرنے کا مطالبہ کیا؟,30 مارچ 2008,0.8217147588729858,0.7751606702804565,0.0,0.0,0.0,0.29897671937942505,0.6143937110900879,0.0,0.0,0.0
اولمپکس کے کسی بھی مقام پر کس قسم کا جھنڈا پہننے والے کھلاڑیوں کو اولمپکس سے نکالنے کے امکان کا سامنا کرنا پڑا؟,تبتی,0.5915848016738892,0.7424496412277222,0.0,0.0,0.0,0.8494542241096497,0.6572004556655884,0.0,0.0,0.0
جب اولمپک مشعل کو ہوائی جہاز میں رکھنا ضروری تھا تو کون سا استعمال کیا جاتا تھا؟,چارٹرڈ ایئر چائنا ایئربس اے 330,0.6051263809204102,0.7787805199623108,0.0,0.0,0.0,0.3919753134250641,0.7966324090957642,0.0,0.0,0.0
بین الاقوامی اولمپک کمیٹی کا صدر کون ہے؟,جیک روگ,0.6618455052375793,0.8612013459205627,0.0,0.0,0.0,0.6206527352333069,0.8834958076477051,0.0,0.0,0.0
ٹارچ کو تائیوان سے کتنے کلومیٹر دور جانا تھا؟,24,0.5621155500411987,0.6559867262840271,0.0,0.0,0.0,0.40344172716140747,0.7703590393066406,0.0,0.0,0.0
ٹارچ کے روٹ کی وضاحت کی زبان میں تائیوان کن دو مقامات کے ساتھ برابر نہیں سمجھا جانا چاہتا تھا؟,ہانگ کانگ اور مکاؤ,0.6983983516693115,0.5897743105888367,0.0,0.0,0.0,0.7446572780609131,0.5964417457580566,0.0,0.0,0.0
کس کے بارے میں کہا جاتا ہے کہ اس نے دلائی لاما کو پیسے دیئے ہیں؟,ایل وی ایم ایچ گروپ,0.41151535511016846,0.4061571955680847,0.0,0.0,0.0,0.1492573618888855,0.5314344167709351,0.0,0.0,0.0
دنیا کے کن تین علاقوں میں احتجاجی مظاہروں کی تعداد کم بتائی گئی؟,لاطینی امریکہ ، افریقہ اور مغربی ایشیاء,0.32370123267173767,0.3320912718772888,0.0,0.0,0.0,0.24019762873649597,0.249955952167511,0.0,0.0,0.0
2008 کے اولمپکس کا نعرہ کیا تھا؟,ایک دنیا ، ایک خواب,0.5132497549057007,0.7626324892044067,0.0,0.0,0.0,0.48747748136520386,0.561111330986023,0.0,0.0,0.0
جون 2008 میں کس تقریب کے لئے بین الاقوامی مشعل ریلے منسوخ کر دیا گیا تھا؟,پیرالمپک کھیلوں,0.6338598728179932,0.5150707364082336,0.0,0.0,0.0,0.5569046139717102,0.6030735969543457,0.0,0.0,0.0
مشعل ریلے کے راستے پر مختلف حملوں کی مذمت کس نے کی؟,چینی حکومت,0.49233388900756836,0.5686526298522949,0.0,0.0,0.0,0.24165019392967224,0.7712805271148682,0.0,0.0,0.0
استنبول میں مشعل کہاں ختم ہوئی؟,تکسیم اسکوائر,0.7475111484527588,0.8677871227264404,0.0,0.0,0.0,0.46806979179382324,0.8182081580162048,0.0,0.0,0.0
مشعل سینٹ پیٹرزبرگ میں کب پہنچی؟,5 اپریل,0.41148799657821655,0.6649891138076782,0.0,0.0,0.0,0.3618503212928772,0.6535635590553284,0.5,0.5,0.0
اولمپک کھیلوں کے شرکاء کے ساتھ کیا ہوسکتا ہے جنہوں نے واقعات میں تبت کا جھنڈا دکھایا؟,بھی نکال دیا جاسکتا ہے,0.5468571186065674,0.7567384243011475,0.0,0.0,0.0,0.8763425350189209,0.7530153393745422,0.0,0.0,0.0
اس صدر کا نام کیا ہے جو الماتی میں پہلا مشعل بردار تھا؟,نورسلطان نزاربیف,0.46686774492263794,0.3157327175140381,0.0,0.0,0.0,0.2859576344490051,0.22818052768707275,0.0,0.0,0.0
یونان میں اس اسٹیڈیم کا نام کیا ہے جہاں مشعل لے جایا گیا تھا؟,پاناتھینائیکو اسٹیڈیم,0.5756663084030151,0.6650073528289795,0.0,0.0,0.0,0.5438080430030823,0.6167680025100708,0.0,0.0,0.0
اولمپک مشعل کتنے میل تک پہنچائی گئی؟,85،000 میل,0.6287298202514648,0.8592020273208618,0.0,0.0,0.0,0.48648884892463684,0.5921247601509094,0.0,0.0,0.0
مشعل ریلے کے منتظمین نے اسے کیا کہا؟,ہم آہنگی کا سفر,0.28895318508148193,0.5129709839820862,0.0,0.0,0.0,0.7357243299484253,0.49037182331085205,0.0,0.0,0.0
اولمپک کھیلوں سے پہلے اولمپک مشعل اٹھانے کی روایت کب شروع ہوئی؟,1936 کے موسم گرما کے اولمپکس,0.48538917303085327,0.7582494616508484,0.0,0.0,0.0,0.5265244245529175,0.7411316633224487,0.0,0.0,0.0
مشعل ریلے کے لئے موضوع کیا تھا؟,ایک دنیا ، ایک خواب,0.4125303030014038,0.5508654117584229,0.0,0.0,0.0,0.7358024716377258,0.6115491390228271,0.0,0.0,0.0
حفاظت کے لیے راستے میں مشعل کس نے بجھا دی؟,چینی سیکیورٹی عہدیداروں,0.761776328086853,0.43115609884262085,0.0,0.0,0.0,0.6703682541847229,0.6914670467376709,0.0,0.0,0.0
مشعل کس پہاڑ پر لے جایا گیا تھا؟,ماؤنٹ ایورسٹ,0.2594197988510132,0.571912407875061,0.0,0.0,0.0,0.42381781339645386,0.660915732383728,0.5,1.0,0.0
جاپان میں مظاہرین کو کس نے دبایا؟,مقابلہ مظاہرین,0.7301281690597534,0.7955485582351685,0.0,0.0,0.0,0.6186351776123047,0.5027042031288147,0.0,0.0,0.0
وزیر داخلہ کون تھا؟,میشل الیوٹ ماری,0.3853309154510498,0.7757294774055481,0.0,0.0,0.0,0.44567060470581055,0.6657418012619019,0.0,0.0,0.0
کن واقعات کے لئے مشعل ریلے کا انعقاد نہ کرنے کا فیصلہ کیا گیا تھا؟,پیرالمپک کھیلوں,0.606565535068512,0.2239004373550415,0.0,0.0,0.0,0.30135419964790344,0.4233682155609131,0.0,0.0,0.0
اولمپک مشعل پر استعمال ہونے والا چینی ڈیزائن کیا ہے؟,لکی کلاؤڈ,0.7217169404029846,0.9266072511672974,0.0,0.0,0.0,0.35868290066719055,0.397580087184906,0.0,0.0,0.0
فی گھنٹہ انچ میں کتنی بارش کے تحت مشعل روشن رہ سکتی ہے؟,2,0.5365970134735107,0.7949748039245605,0.0,0.0,0.0,0.7006670236587524,0.5530085563659668,0.0,0.0,0.0
کس نے کہا کہ مشعل ریلے ختم کیا جائے؟,آئی او سی ممبران,0.3855740427970886,0.650693953037262,0.0,0.0,0.0,0.3578740358352661,0.46174418926239014,0.0,0.0,0.0
اس ایئر لائن کا نام کیا تھا جس نے اولمپک مشعل کو منتقل کیا تھا؟,ایئر چائنا,0.4183614253997803,0.5898714065551758,0.0,0.0,0.0,0.1230568140745163,0.2936302721500397,0.0,0.0,0.0
یہ کب فیصلہ کیا گیا تھا کہ ایئر چائنا سرکاری مشعل بردار ہوگا؟,مارچ 2008,0.5451006889343262,0.7760925889015198,0.0,0.0,0.0,0.051270678639411926,-0.035764552652835846,0.0,0.0,0.0
جمہوریہ چین کا خیال تھا کہ غلط فیصلہ تائیوان کو کس دو علاقوں کے ساتھ ایک ہی سطح پر رکھ سکتا ہے۔,ہانگ کانگ اور مکاؤ,0.591821551322937,0.6102303266525269,0.0,0.0,0.0,0.5943585634231567,0.9283177852630615,0.0,0.0,0.0
2008 کے اولمپکس کے لئے پہلے مشعل بردار کا نام کیا ہے؟,الیکسینڈروس نکولائڈس,0.2042146623134613,0.40418559312820435,0.0,0.0,0.0,0.18036560714244843,0.28338706493377686,0.0,0.0,0.0
چینی لوگوں سے کہا گیا تھا کہ وہ وطن پرستی کو منظم طریقے سے ظاہر کریں اور کس طریقے سے؟,قانونی,0.5478734374046326,0.7388504147529602,0.0,0.0,0.0,0.5371202826499939,0.802010178565979,0.0,0.0,0.0
کہاں مخالف مظاہرین چینی جھنڈوں کے ساتھ ایک Carrefour کی دکان میں داخل ہونے سے روک دیا گیا تھا؟,کنمنگ,0.4926337003707886,0.6578758955001831,0.0,0.0,0.0,0.5968495607376099,0.8694573640823364,0.0,0.0,0.0
کون سے کارکنوں کو گرفتار کیا گیا ہے؟,یوگور,0.1943817436695099,0.4633644223213196,0.0,0.0,0.0,0.3477303087711334,0.6736627817153931,0.0,0.0,0.0
کس نے سٹی ہال کی کھڑکی سے تبت کا جھنڈا پھینک دیا؟,گرین پارٹی کے عہدیداروں,0.658387303352356,0.6616485714912415,0.0,0.0,0.0,0.5845390558242798,0.33712631464004517,0.0,0.0,0.0
روس میں ریلے کے لئے آخری مقام کیا تھا؟,پلاس اسکوائر,0.6944599151611328,0.820968508720398,0.0,0.0,0.0,0.7247395515441895,0.26854607462882996,0.0,0.0,0.0
لندن کے راستے کے لئے مشعل کو تھامنے والا پہلا شخص کون تھا؟,سر اسٹیو ریڈگریو,0.28824326395988464,0.873535692691803,0.0,0.0,0.0,0.5791434049606323,0.6695908308029175,0.0,0.0,0.0
جب مشعل ان کے پاس سے گزری تو ایم پیز نے کیا چیخیں؟,تبت کے لئے آزادی!,0.30561572313308716,0.8834643363952637,0.0,0.0,0.0,0.3874901533126831,0.746737003326416,0.0,0.0,0.0
مشعل کو لے جانے کی کوشش کہاں کی گئی تھی؟,لیڈبروک گروو,0.42170006036758423,0.7047148942947388,0.0,0.0,0.0,0.5846742391586304,0.30061179399490356,1.0,1.0,0.0
کون ایک احتجاج بینر لٹکانے کے لئے ایفل ٹاور پر چڑھ گیا؟,ریپورٹرز ود آؤٹ بارڈرز,0.6773750185966492,0.7350976467132568,0.0,0.0,0.0,0.5573474168777466,0.7803192734718323,0.0,0.0,0.0
جب ریلے گزر رہا تھا تو پارلیمنٹ کے ارکان نے کیا چیخیں ماریں؟,تبت کے لئے آزادی!,0.3055596351623535,0.7585102319717407,0.0,0.0,0.0,0.28576231002807617,0.5805948972702026,0.0,0.0,0.0
