chunk,question,answer
3,19 مئی 2008 کو کون سی تقریب کا اعلان کیا گیا؟,19 مئی 2008 کو زلزلے کے متاثرین کے لیے تین روزہ قومی سوگ کا اعلان کیا گیا۔
3,والدین اور رضا کاروں نے حکام سے کیا سوال کیا؟,والدین اور رضا کاروں نے حکام سے سوال کیا کہ انہیں حراست میں لیا گیا ہے اور دھمکیاں دی گئی ہیں۔
4,چین کے قومی جھنڈے کا اعلان کب کیا گیا؟,چین کے قومی جھنڈے کا اعلان 19 مئی 2008 کو کیا گیا۔
4,چین میں سوگ کا مظاہرہ کس واقعے کے بعد ہوا؟,چین میں سوگ کا مظاہرہ ماو زے تنگ کی موت کے بعد ہوا۔
4,چین کے عوام نے کتنی منٹ کی خاموشی اختیار کی؟,چین کے عوام نے تین منٹ کی خاموشی اختیار کی۔
4,خاموشی کے دوران کیا چیزیں بجائی گئیں؟,"خاموشی کے دوران فضائی دفاع، پولیس اور فائر سائرن بجائے گئے۔"
4,زلزلے کے وقت کتنے طلباء کی زندگیاں بچائی گئیں؟,"زلزلے کے وقت 2,323 طلباء کی زندگیاں بچائی گئیں۔"
5,2007 میں کس چیز کی نگرانی کی گئی؟,2007 میں اس نے اپنے اسکول کی ایک بڑی بحالی کی نگرانی کی۔
5,اس بحالی کے دوران اس نے کتنی رقم حاصل کی؟,"اس نے 400,000 امریکی ڈالر سے زیادہ حاصل کیے۔"
5,حاصل کردہ رقم کا استعمال کس چیز کے لیے کیا گیا؟,حاصل کردہ رقم کا استعمال اسکول کی چاروں منزلوں کے کنکریٹ ستونوں اور بالکونی ریلنگ کو وسیع اور مضبوط کرنے کے لیے کیا گیا۔
5,زلزلے کے بعد کن چیزوں کو معطل کیا گیا؟,زلزلے کے بعد قومی صبح کے دوران ننگبو میں ہونے والی ریلی کو سوگ کی مدت کے لیے معطل کیا گیا۔
5,19 مئی 2008 کو کیا اعلان کیا گیا؟,19 مئی 2008 کو ریاستی کونسل نے زلزلے کے متاثرین کے لیے تین روزہ قومی سوگ کا اعلان کیا۔
6,چین کے قومی جھنڈے اور ہانگ کانگ کے خصوصی انتظامی علاقوں کے جھنڈے کب لہرائے گئے؟,چین کے قومی جھنڈے اور ہانگ کانگ کے خصوصی انتظامی علاقوں کے جھنڈے آدھے مست پر لہرائے گئے۔
6,قومی سوگ کا اعلان کب کیا گیا تھا؟,"قومی سوگ کا اعلان 2008 میں ہوا، جب کسی ریاستی رہنما کی موت کے علاوہ کسی اور چیز کے لیے سوگ کا اعلان کیا گیا تھا۔"
6,لوگوں نے کس واقعے کے بعد سوگ کا مظاہرہ کیا؟,لوگوں نے ماؤ زے ڈونگ کی موت کے بعد سوگ کا سب سے بڑا مظاہرہ کیا۔
6,19 مئی 2008 کو چین کے عوام نے کیا کیا؟,19 مئی 2008 کو چین کے عوام نے ایک منٹ کی خاموشی اختیار کی۔
6,خاموشی کے دوران لوگ کس طرح کے اقدامات کر رہے تھے؟,"لوگ تین منٹ کے لیے خاموش کھڑے رہے جبکہ فضائی دفاع، پولیس اور فائر سائرن بج رہے تھے، اور گاڑیاں، بحری جہاز اور ٹرینیں بھی ساکن تھیں۔"
7,لیو شاکون کو کب حراست میں لیا گیا؟,لیو شاکون کو 25 جون 2008 کو حراست میں لیا گیا۔
7,لیو شاکون پر کس الزام میں حراست میں لیا گیا؟,لیو شاکون پر زلزلے کے بارے میں افواہیں پھیلانے اور معاشرتی نظم و ضبط کو تباہ کرنے کے الزام میں حراست میں لیا گیا۔
7,لیو شاکون نے حراست کے دوران کیا کیا؟,"لیو شاکون نے حراست کے دوران شفافنگ کا سفر کیا، گرنے والی اسکول کی عمارتوں کی تصاویر لیں، اور انہیں آن لائن ڈال دیا۔"
7,لیو شاکون کے خلاف کیا کارروائی کی جا رہی ہے؟,لیو شاکون کے خلاف بغاوت کو بڑھکانے کے جرم کی شُبہ میں تفتیش کی جارہی ہے۔
7,لیو شاکون کو دوبارہ تعلیم کی خدمت کرنے کا حکم کب دیا گیا؟,لیو شاکون کو مزدوری کے ذریعے ایک سال کی دوبارہ تعلیم کی خدمت کرنے کا حکم دیا گیا تھا۔
8,14 مئی کو وزارت سول امور نے کیا بیان دیا؟,وزارت سول امور نے بیان دیا کہ چینی عوام نے 10.7 بلین یوآن (تقریباً 1.5 بلین امریکی ڈالر) کا عطیہ کیا۔
8,ہیوسٹن ریڈ کراس سوسائٹی نے کتنی رقم عطیہ کی؟,"ہیوسٹن ریڈ کراس سوسائٹی نے 214،000 ڈالر اور 71،000 ڈالر عطیہ کیے۔"
8,ای ایس او سی نے اب تک کتنی رقم کا عطیہ جمع کیا ہے؟,ای ایس او سی نے اب تک مجموعی طور پر 26 ملین ڈالر کے عطیات جمع کیے ہیں۔
8,چین میں دیگر قومی فورمز نے کیا اعلان کیا؟,چین میں دیگر قومی فورمز نے بھی بڑی مقدار میں عطیات کا اعلان کیا ہے۔
8,یونیسف نے 14 مئی کو کیا اطلاع دی؟,یونیسف نے اطلاع دی کہ چین نے متاثرہ خاندانوں کی ضروریات کا جواب دینے کے لیے بین الاقوامی برادری کی حمایت کی باقاعدہ درخواست کی ہے۔
9,نیو یارک کے عہدیداروں نے کس چیز کی تحقیقات کرنے کا اعلان کیا ہے؟,نیو یارک کے عہدیداروں نے گرنے کی تحقیقات کرنے کا اعلان کیا ہے۔
9,نیشنل ڈویلپمنٹ اینڈ ریفارم کمیشن نے 27 مئی کو کیا بیان دیا؟,نیشنل ڈویلپمنٹ اینڈ ریفارم کمیشن نے 27 مئی کو کہا کہ انہوں نے دیہی علاقوں میں پرائمری اور مڈل اسکولوں کے لیے تعمیری معیار کو بہتر بنانے کے لیے ایک ترمیم کا مسودہ تیار کیا ہے۔
9,"کمیشن کے مطابق، ماہرین کیا کر رہے ہیں؟","کمیشن کے مطابق، ماہرین اس مسودے کا جائزہ لے رہے ہیں۔"
9,والدین کو احتجاج کو محدود کرنے کے لیے کیا کرنے پر مجبور کیا گیا؟,"والدین کو احتجاج کو محدود کرنے کے لیے ایک دستاویز پر دستخط کرنے پر مجبور کیا گیا، جس میں انہیں احتجاج کرنے سے منع کیا گیا۔"
9,ہانوانگ میں والدین کو کتنی نقد رقم کی پیشکش کی گئی؟,"ہانوانگ میں والدین کو نقد رقم میں 8,800 امریکی ڈالر کا ایک پیکیج اور تقریباً 5,600 امریکی ڈالر کی فیس کی پیشکش کی گئی۔"
10,عہدیداروں نے خاموشی کے دیگر طریقوں کا کیا استعمال کیا؟,عہدیداروں نے خاموشی کے دیگر طریقوں کا استعمال کیا۔
10,پولیس کے افسران نے والدین کے احتجاج کے ساتھ کیا کیا؟,پولیس کے افسران نے والدین کے احتجاج کو توڑ دیا۔
10,حکام نے اسکولوں کے ارد گرد کیا قائم کیا؟,حکام نے اسکولوں کے ارد گرد کورڈونز قائم کیے۔
10,چینی نیوز میڈیا کو کیا حکم دیا گیا؟,چینی نیوز میڈیا کو حکم دیا گیا کہ وہ اسکول کے خاتمے پر رپورٹ کرنا بند کردیں۔
10,زلزلے کے بعد چینی اسکولوں میں کیا حفاظتی چیک کیے گئے؟,زلزلے کے بعد چینی اسکولوں میں حفاظتی چیک کیے گئے۔
11,لوگوں نے خون کا عطیہ کب دیا؟,لوگوں نے خون کا عطیہ اس وقت دیا جب چین کے زیادہ تر بڑے شہروں میں لمبی قطاریں کھڑی ہوگئیں۔
11,چین کی حکومت نے زلزلے کی امداد کے لئے کتنی رقم مختص کی؟,چین کی حکومت نے زلزلے کی امداد کے لئے مجموعی طور پر 772 ملین ڈالر مختص کیے تھے۔
11,زلزلے کے بعد عوام نے کس بارے میں معلومات حاصل کیں؟,"زلزلے کے بعد، مہارین اور عام عوام نے اس بارے میں معلومات حاصل کیں کہ آیا زلزلے کی پیش گوئی پہلے سے کی جا سکتی ہے یا نہیں۔"
11,زلزلے کی پیش گوئی کے بارے میں سائنسی برادری کا کیا موقف ہے؟,سائنسی برادری کے اندر کوئی اتفاق رائے نہیں ہے کہ زلزلے کی پیش گوئی ممکن ہے یا نہیں۔
11,زلزلے کی پیش گوئی کا موجودہ حال کیا ہے؟,زلزلے کی پیش گوئی ابھی تک قائم سائنس نہیں ہے۔
12,زلزلے کے بارے میں کون سی اہم بات بیان کی گئی ہے؟,زلزلے کی پیش گوئی ایک عالمی مسئلہ ہے اور اس کے لیے کوئی ثابت شدہ طریقے موجود نہیں ہیں۔
12,کس نے زلزلے کی پیش گوئی کے حوالے سے معلومات فراہم کی؟,اراضیات دان ژانگ شیاؤ ڈونگ نے زلزلے کی پیش گوئی کے بارے میں معلومات فراہم کی۔
12,2002 میں کس نے زلزلے کے خطرے کے تجزیے کا مطالعہ شائع کیا؟,چینی اراضیات دان چن شوزونگ نے 2002 میں زلزلے کے خطرے کے تجزیے کا مطالعہ شائع کیا۔
12,2003 کے بعد کس شدت کے زلزلے کے امکانات پر توجہ دینے کی ضرورت ہے؟,2003 کے بعد 7.0 سے زیادہ شدت کے زلزلے کے امکانات پر توجہ دینے کی ضرورت ہے۔
12,زلزلے کی پیش گوئی کے حوالے سے آسنڈریلیا میں کس نے معلومات فراہم کی؟,آسنڈریلیا میں ماہر گیری گبسن نے زلزلے کی پیش گوئی کے حوالے سے معلومات فراہم کی۔
13,زلزلے کے واقعہ سے پہلے چین میں کب پہلی سالگرہ منائی گئی؟,12 مئی 2009 کو چین نے زلزلے کی پہلی سالگرہ منائی۔
13,چین میں زلزلے کی سالگرہ منانے کا مقصد کیا تھا؟,زلزلے کی سالگرہ منانے کا مقصد مرنے والوں کو یاد کرنا تھا۔
13,حکومت نے زلزلے کی یاد میں کیا اقدام کیا؟,حکومت نے بینچوان کاؤنٹی کی نششت کے مہریں بند کر کے تین دن کے لیے رسائی بھی کھول دی۔
13,زلزلے کے متاثرین کے لیے ملک بھر میں کیا کیا گیا؟,زلزلے سے بچ جانے والوں کے لیے رقم اکٹھا کرنے کے لیے ملک بھر میں کئی کنسرٹ بھی ہوئے۔
13,زلزلے کے بعد امدادی کوششوں میں کون شامل تھا؟,تائیوان سے تائی پے فائر ڈیپارٹمنٹ سمیت بہت سی امدادی ٹیمیں بدھ کے روز ہی سیچوان میں امدادی کوششوں میں شامل ہونے کے لیے تیار تھیں۔
14,چین کی ریڈ کراس سوسائٹی نے 13 مئی کو کس مسئلے کی وجہ سے متاثرہ علاقے میں تکلیف کا ذکر کیا؟,چین کی ریڈ کراس سوسائٹی نے زلزلے کے مرکز کے قریب متاثرہ علاقوں میں ریڈ کراس کی وجہ سے تکلیف کا ذکر کیا۔
14,متاثرہ علاقوں کو کس قسم کی امداد کی ضرورت ہے؟,"متاثرہ علاقوں کو خیموں، طبی سامان، پینے کے پانی اور کھانے کی ضرورت ہے۔"
14,چین کی ریڈ کراس سوسائٹی نے نقد رقم عطیہ کرنے کی کیوں سفارش کی؟,چین کی ریڈ کراس سوسائٹی نے نقد رقم عطیہ کرنے کی سفارش کی کیونکہ متاثرہ سڑکوں تک پہنچنا ممکن نہیں تھا۔
14,لینڈ سلائیڈنگ نے کس چیز کو خطرے میں ڈال دیا؟,لینڈ سلائیڈنگ نے مسلسل 80 مردوں کے سرچ اینڈ رسکیو گروپ کی پیشرفت کو خطرے میں ڈال دیا۔
14,کیا امدادی سامان کی مقدار بتائی گئی ہے؟,"جی ہاں، ہر ایک تقریباً 40 کلگرام امدادی سامان لے کر جا رہے تھے۔"
15,ہیلی کاپٹر کے استعمال کو کس چیز نے روکا؟,ہیلی کاپٹر کے استعمال کو انتہائی زمین کے حالات نے روکا۔
15,متاثرہ افراد کو کتنے دن تک بغیر کھانے اور پانی کے رہنا پڑا؟,متاثرہ افراد کو پانچ دن تک بغیر کھانے اور پانی کے رہنا پڑا۔
15,ریئسکیو گروپ کو متاثرہ افراد کی مدد کے لیے کب تک نہیں پہنچا؟,ریئسکیو گروپ متاثرہ افراد کی مدد کے لیے نہیں پہنچا جب تک کہ انہیں زخمی اور پھنسے ہوئے افراد کی مدد کے لیے نہیں پہنچا۔
15,حکومت نے متاثرہ افراد کی مدد کے لیے کیا اقدام کیا؟,حکومت نے متاثرہ افراد کی مدد کے لیے ایک آن لائن بچاؤ کی درخواست کا مرکز قائم کیا۔
15,طالب علم نے ہیلی کاپٹروں کے لیے کس جگہ کو تجویز کیا؟,طالب علم نے ہیلی کاپٹروں کے لیے پہلی لینڈنگ کی جگہ کے طور پر منتخب کیا۔
16,رضا کاروں نے متاثرین اور انخلا کے لئے کیا کیا اقدامات کیے؟,رضا کاروں نے متاثرین اور انخلا کے لئے معلومات کو ذخیرہ کرنے میں مدد کے لئے کئی ویب سائٹس قائم کیں۔
16, 31 مئی کو کیا واقعہ پیش آیا؟,31 مئی کو زلزلے سے بچ جانے والوں اور عملے کے ممبروں کو لے جانے والا ایک بچاؤ ہیلی کاپٹر وینچوان میں دھند اور ہنگامے میں گر گیا۔
16, بچاؤ ہیلی کاپٹر کے حادثے میں کتنے لوگ متاثر ہوئے؟,بچاؤ ہیلی کاپٹر کے حادثے میں کوئی زندہ بچ جانے والا نہیں تھا۔
16,تائیوان نے زلزلے کے بعد کس قسم کی مدد قبول کی؟,تائیوان نے زلزلے کے بعد تزو چھی فاؤنڈیشن کی مدد کو قبول کیا۔
16,چین نے زلزلے کے بعد کیسا ردعمل ظاہر کیا؟,چین نے کہا کہ وہ زلزلے سے نمٹنے کے لئے بین الاقوامی مدد کو شکر گزار قبول کرے گا۔
17,چین کی ریڈ کراس سوسائٹی نے 13 مئی کو کس مسئلے کی وجہ سے زلزلے کے متاثرہ علاقوں میں مشکلات کا ذکر کیا؟,"چین کی ریڈ کراس سوسائٹی نے زلزلے کے مرکز کے قریب ترین متاثرہ علاقوں میں طبعی سامان، پینے کے پانی اور کھانے کی ضرورت کا ذکر کیا۔"
17,چین کی ریڈ کراس سوسائٹی نے متاثرہ علاقوں کے لیے کس قسم کی امداد فراہم کرنے کی سفارش کی؟,"چین کی ریڈ کراس سوسائٹی نے نقد عطیہ کرنے کی سفارش کی، کیونکہ دیگر اشیاء تک پہنچنا ممکن نہیں تھا۔"
17,کیا متاثرہ علاقوں میں بنیادی سہولیات کی کمی کی وجہ سے امدادی سامان کی ترسیل میں مشکلات پیش آئیں؟,"جی ہاں، متاثرہ علاقوں میں بنیادی سہولیات کی کمی کی وجہ سے امدادی سامان کی ترسیل میں مشکلات پیش آئیں۔"
17,لینڈ سلاڈنگ نے کس چیز کو خطرے میں ڈال دیا؟,لینڈ سلاڈنگ نے مسلسل 80 مردوں کی تلاش اور امدادی گروپ کی پیشرفت کو خطرے میں ڈال دیا۔
17,امدادی سامان کی مقدار کیا تھی جو ہر تقریباً 40 کلوتھ کی ضرورت تھی؟,ہر تقریباً 40 کلوتھ کے لیے 40 کلگرام امدادی سامان کی ضرورت تھی۔
18,ہیلئی کمپنر انخلا کے استعمال کو کس چیز نے روکا؟,ہیلئی کمپنر انخلا کے استعمال کو انتھائی زمین کے حالات نے روکا۔
18,زلزلے کے دوران کتنے ناکافی طور پر انجینئر اسکول کے کمرے گر گئے؟,"زلزلے میں 7,000 سے زیادہ ناکافی طور پر انجینئر اسکول کے کمرے گر گئے۔"
18,چینی شہریوں نے زلزلے کے بعد کیا جملہ ایجاد کیا؟,"چینی شہریوں نے ""توفو ڈرائیگس اسکول ہاؤسز"" کا جملہ ایجاد کیا۔"
18,زلزلے کے دوران ایک بچے کی پالیسی کی وجہ سے کیا ہوا؟,زلزلے کے دوران ایک بچے کی پالیسی کی وجہ سے بہت سے خاندانوں نے اپنے واحد بچے کو کھو دیا۔
18,زلزلے کے بعد متاثرہ دیہاتوں کی مدد کے لئے کب تک بغیر کھانے اور پانی کے پہنچنے کی کوشش کی گئی؟,متاثرہ دیہاتوں کی مدد کے لئے  پانچ دن تک بغیر کھانے اور پانی کے پہنچنے کی کوشش کی گئی۔
19,سیچوان صوبائی اور مقامی عہدے داروں نے کن خاندانوں کے لیے پابندی ختم کی ہے؟,انہوں نے ان خاندانوں کے لیے پابندی ختم کی ہے جن کا واحد بچہ یا تو تباہی میں ہلاک یا شدید زخمی ہوا تھا۔
19,18 سال سے کم عمر کے بچوں کے بارے میں کیا قانونی متبادل فراہم کیا جا سکتا ہے؟,18 سال سے کم عمر کے نام نہاد غیر قانونی بچوں کو ان کے مردہ بہن بھائیوں کے لیے قانونی متبادل کے طور پر رجسٹر کیا جا سکتا ہے۔
19,اگر مردہ بچہ غیر قانونی تھا تو کیا مزید جرمانے لاگو ہوں گے؟,اگر مردہ بچہ غیر قانونی تھا تو مزید جرمانے لاگو نہیں ہوں گے۔
19,بیجنگ اولمپک مشعل ریلے کے دوران کیا اعلان کیا گیا؟,قومی صبح کے دوران ننگبو میں ہونے والی ریلے کو سوگ کی مدت کے لیے معطل کرنے کا اعلان کیا گیا۔
19,زلزلے کے بعد ملک میں مشعل کے راستے کو کیا کیا گیا؟,زلزلے کے بعد ملک میں مشعل کے راستے کو کم کیا گیا تھا۔
20,وﯾﻨﭼوان میں کس چیز نے امدادی کوششوں کو متاثر کیا؟,وﯾﻨﭼوان میں مسلسل شدید بارش اور لینڈ سلاڈنگ نے امدادی کوششوں کو بری طرح متاثر کیا۔
20,امدادی کارروائیوں کا آغاز کب ہوا؟,امدادی کارروائیوں کا آغاز 12 مئی کو ہوا۔
20,چینی ملٹری ریجن کی امدادی فورسز کی تعداد کیا تھی؟,"چینی ملٹری ریجن کی امدادی فورسز کی تعداد تقریباً 15,600 تھی۔"
20,زلزلے کے متاثرہ علاقوں میں کتنے زخمیوں کی انخلاء اور تفتیش کے لیے اقدامات کیے گئے؟,زلزلے کے متاثرہ علاقوں میں زخمیوں کی انخلاء اور تفتیش کے لیے اقدامات کیے گئے۔
20,وﯾﻨﭼوان میں زندہ بچ جانے والوں کی تعداد کیا تھی؟,"وﯾﻨﭼوان میں تقریباً 3,000 زندہ بچ جانے والے تھے۔"
21,14 مئی 2008 کو وینچوان میں کیا واقعہ پیش آیا؟,14 مئی 2008 کو وینچوان میں مواصلات جزوی طور پر بحال ہو گئے۔
21,14 مئی کی دوپہر کو کون سی اشیاء وینچوان کے شمال مشرق میں موجود تھیں؟,"14 مئی کی دوپہر کو وینچوان کے شمال مشرق میں اسپیشل آپریشنز، امدادی سامان اور مواصلات کے سامان موجود تھے۔"
21,غیر مستحکم سیچوان کے کون سے علاقے میں مشکلات کا سامنا تھا؟,"غیر مستحکم سیچوان کے ماؤ کونگ میں مشکلات کا سامنا تھا، جہاں صرف پیادہ یا ہوا کے ذریعے قابل رسائی تھا۔"
21,چین فلائنگ ڈرائیونگ نے کس کمپنی کے ساتھ تعلق برقرار رکھا؟,چین فلائنگ ڈرائیونگ نے اسپیشل ایوی ایشن کمپنی کے ساتھ تعلق برقرار رکھا۔
21,1200 فوجیوں کو کس مقصد کے لیے شامل کیا گیا؟,1200 فوجیوں کو دھماکہ خیز ماہرین اور دیگر اہلکاروں میں شامل کرنے کے لیے شامل کیا گیا۔
22,مشینری کو چلانے کے لیے کون سا ایندھن استعمال کیا گیا؟,مشینری کو چلانے کے لیے پانچ نون ایندھن ہوائی جہاز کے ذریعہ فراہم کیا گیا۔
22,بوتل گلے والے پانی کو محفوظ طریقے سے خارج کرنے کے لیے کیا کیا گیا؟,بوتل گلے والے پانی کو محفوظ طریقے سے خارج کرنے کے لیے ایک تالاب تعمیر کیا گیا۔
22,18 مئی کی شام کو سی سی ٹی وی ون نے کیا پروگرام منعقد کیا؟,"18 مئی کی شام کو سی سی ٹی وی ون نے ""گوانگ آف محبت"" نامی خصوصی پروگرام کی میزبانی کی۔"
22,اس پروگرام میں کون کون سے ممالک کے افراد نے شرکت کی؟,"اس پروگرام میں چین، ہانگ کانگ، سنگاپور اور تائیوان کی تفریحی، ادبی، کاروباری اور سیاسی شخصیات نے شرکت کی۔"
22,شام کی عطیات کی مجموعی رقم کتنی تھی؟,شام کی عطیات کی مجموعی رقم 1.5 بلین چینی یوآن (~ 208 ملین امریکی ڈالر) تھی۔
23,سی سی اینی وی نے کتنے ملین کی سب سے بڑی کارپوریٹ شراکت دی؟,سی سی اینی وی نے 50 ملین کی سب سے بڑی کارپوریٹ شراکت دی۔
23,"ہانگ کانگ کے اداکار جنہوں نے 1.57 ملین عطیہ کیا، ان کا نام کیا ہے؟",ہانگ کانگ کے اداکار کا نام جی کی چن ہے۔
23,آرٹسنس 512 فنڈ ریزنگ مہم کب منعقد کی گئی؟,آرٹسنس 512 فنڈ ریزنگ مہم 1 جون کو منعقد کی گئی۔
23,سنگاپور میں 'لا ئیو' پروگرام کی میزبانی کس نے کی؟,سنگاپور میں 'لا ئیو' پروگرام کی میزبانی میڈیا کارپ چینل 8 نے کی۔
23,تائیوان میں فائر ڈیپارٹمنٹ نے کس قسم کی امدادی کوششوں میں شمولیت اختیار کی؟,تائیوان میں فائر ڈیپارٹمنٹ نے بہت سی امدادی ٹیموں میں شمولیت اختیار کی۔
24,چین کی ریڈ کراس سوسائٹی نے 13 مئی کو کس مسئلے کے بارے میں بات کی؟,چین کی ریڈ کراس سوسائٹی نے زلزلے کے مرکز کے قریب ترین متاثرہ علاقوں میں امداد کے مسائل کے بارے میں بات کی۔
24,چین کی ریڈ کراس سوسائٹی نے متاثرہ علاقوں کی کیا ضروریات بتائیں؟,"متاثرہ علاقوں کو خیموں، طبی سامان، پینے کے پانی اور کھانے کی ضرورت ہے۔"
24,چین کی ریڈ کراس سوسائٹی نے نقد عطیہ کرنے کی کیوں سفارش کی؟,چین کی ریڈ کراس سوسائٹی نے نقد عطیہ کرنے کی سفارش کی کیونکہ متاثرہ سڑکوں تک پہنچنا ممکن نہیں تھا۔
24,لینڈ سلائیڈنگ نے کس چیز کو خطرے میں ڈال دیا؟,لینڈ سلائیڈنگ نے مسلسل 80 مردوں کی تلاش اور امدادی گروپ کی پیشرفت کو خطرے میں ڈال دیا۔
24,امدادی سامان کی مقدار کیا تھی؟,ہر ایک تقریباً 40 کلگرام امدادی سامان لے کر آیا۔
25,ہیلئی کیمپ کے استعمال کو کس چیز نے روکا؟,ہنٹائی زمین کے حالات نے ہیلئی کیمپ کے استعمال کو روک دیا۔
25,متاثرہ دیہاتوں کی مدد کے لیے رسکیو گروپ کب پہنچا؟,رسکیو گروپ متاثرہ دیہاتوں کی مدد کے لیے پانچ دن پہلے پہنچا۔
25,12 مئی کو امدادی کارروائیوں کے آغاز پر کیا چیز فراہم کی گئی؟,"12 مئی کو امدادی کارروائیوں کے آغاز پر کھانے، پانی اور ہنگامی امداد کی فراہمی کی گئی۔"
25,چینگدو ملنری ریجن میں کتنے فوجی اور ملیشیا ریزرو امدادی فورس میں شامل تھے؟,"چینگدو ملنری ریجن میں 15,600 فوجی اور ملیشیا ریزرو امدادی فورس میں شامل تھے۔"
25,متاثرہ علاقوں میں امدادی کوششوں پر کس چیز نے اثر ڈالا؟,متاثرہ علاقوں میں مسلسل شدید بارش اور لینڈ سلائیڈنگ نے امدادی کوششوں کو بری طرح متاثر کیا۔
26,زلزلے کے نتیجے میں کتنے بچے جان سے گئے؟,"تقریباً 3,000 بچے جان سے گئے۔"
26,زلزلے میں متاثرہ دیگر باشندوں کی تعداد کیا تھی؟,"تقریباً 9,000 دیگر باشندے متاثر ہوئے۔"
26,زلزلے کے مرکز تک کتنے بچے پہنچے؟,"1,300 بچے زلزلے کے مرکز تک پہنچے۔"
26,امدادی سامان اور مواصلات کی حالت زلزلے کے بعد کیسی تھی؟,امدادی سامان اور مواصلات کی حالت جزوی طور پر بحال ہوئی تھی۔
26,کون سی ممالک امدادی گروپ کی کوششوں میں شامل ہوئے؟,"جنوبی کوریا، جاپان، سنگاپور، روس اور تائیوان امدادی گروپ کی کوششوں میں شامل ہوئے۔"
27,امریکہ نے چین میں دو امریکی فضائیہ کے اہلکاروں کو کب اور کس مقصد کے لیے بھیجا؟,امریکہ نے چین میں دو امریکی فضائیہ کے اہلکاروں کو 17 ستمبر کو سامان لینے کے لیے بھیجا۔
27,سنہ 2008 میں گلوب اینڈ میل ڈاٹ کام کی رپورٹ میں کیا بتایا گیا؟,گلوب اینڈ میل ڈاٹ کام کی رپورٹ میں بتایا گیا کہ خراب طریقے سے تعمیر شدہ عمارتوں کو عام طور پر نوفو عمارتیں کہا جاتا ہے۔
27,چین میں کتنے چینی فوجی اور میڈیکس امدادی کوششوں میں شامل تھے؟,"چین میں 135,000 چینی فوجی اور میڈیکس 58 کونٹیوں اور شہروں میں امدادی کوششوں میں شامل تھے۔"
27,خراب عمارتوں کی تعمیر کے لیے کیا طریقہ استعمال کیا جاتا ہے؟,خراب عمارتوں کی تعمیر کے لیے کنکریٹ کی دوبارہ تقویت کے لیے اسٹیل کی سلاخوں کو ٹھیک لوہے کی تاروں سے تبدیل کر کے استعمال کیا جاتا ہے۔
27,نگران کرنے والی ایجنسیوں نے قومی معیاروں پر پورا اترنے کی تصدیق کیوں نہیں کی؟,نگران کرنے والی ایجنسیوں نے یہ نہیں چیک کیا کہ آیا یہ قومی معیاروں پر پورا اترتا ہے۔
28,چینی استغاثہ مئی کے زلزلے کے دوران کتنے اسکولوں میں سرکاری تحقیقات شامل ہیں؟,دس اسکولوں میں سرکاری تحقیقات شامل ہیں۔
